habitat           n.(动物的)栖息地，(植物的)产地
huddle            n./v.拥挤;聚集v.(因寒冷、害怕而)缩成一团
huge              a.巨大的,庞大的
hug               v./n.热烈拥抱,紧抱
human             a.人的,人类的 n.人
humanity          n.人类,人性,人情;(pl.)人文科学
humble            a.谦卑的,恭顺的;地位低下的 v.降低,贬低
humid             a.湿的,湿气重的
humidity          n.湿气,湿度
humiliate         v.使羞辱，使丢脸[同]disgrace
humor             n.(humour)幽默,诙谐
humorous          a.富于幽默感的，幽默的;滑稽的
hum               v.哼曲子;发嗡嗡声;忙碌n.嗡嗡声，嘈杂声
hundred           num.百，一百;[pl.]许多 a.一百的;许多
hunger            n./v.饥饿;渴望
hungry            a.饥饿的,渴望的
hunt              v./n.打猎,猎取;(for)搜索;寻找
hurl              vt.猛投，力掷;大声叫骂
hurricane         n.飓风
hurry             vi.匆忙 vt.催促;急运(派) n.急(匆)忙
hurt              n.伤痛,伤害 v.刺痛,伤害;伤…的感情
husband           n.丈夫
hut               n.小屋,棚屋
hydrogen          n.氢
hypocrisy         n.伪善，虚伪
hypothesis        n.假说,假设,前提
hysterical        a.情绪异常激动的,歇斯底里的
