fable             n.寓言
fear              n.害怕，恐惧;危险vt.畏惧，害怕，担心
feasible          a.可行的;切实可行的;行得通的;可用的
feast             n.节日;宴会
feather           n.羽毛
feat              n.功绩，伟业，技艺
feature           n.特征;容貌;特色;特写 v.以...为特色
february          n.二月
federal           a.联邦的;联邦制的;联合的;同盟的
federation        n.同盟;联邦;联合;联盟;联合会
feeble            a.虚弱的,无力的
feedback          n.反馈;反应;回授
feed              v.(on,with)喂养,饲养;(with)向…供给
feeling           n.感情;心情;知觉;同情
feel              v.触;认为 vi.摸上去有…感觉;摸索;觉得
fee               n.费(会费,学费等);酬金
fellow            n.人,家伙;伙伴,同事 a.同样的,同事的
fellowship        n.伙伴关系;联谊会,团体
fell              v.击倒;打倒(疾病等);砍伐a.凶猛的;可怕的
female            n.女性;女人;雌兽 a.女性的;雌的;柔弱的
feminine          a.女性的;娇柔的
fence             n.篱笆;围栏;剑术 v.用篱笆瓦围住;击剑
ferry             n.摆渡;渡船;渡口v.摆渡;渡运(人,车或物等)
fertile           a.肥沃的,富饶的;能繁殖的
fertilizer        n.(fertiliser)肥料
festival          n.节日;音乐节;戏剧节 a.节日的;快乐的
fetch             v.取来;接来;引出;售得;吸引 n.取得;拿
feudal            a.封建的;封地的;领地的
fever             n.发热,狂热
few               a.[表肯定]有些，几个;[表否定]几乎没有的
fiber             n.(fibre)纤维;构造;纤维制品
fiction           n.虚构,编造;小说
field             n.田野;运动场;(电或磁)场;领域，范围
fierce            a.凶猛的,残忍的;狂热的,强烈的
fifteen           num.十五 pron./a.十五(个，只...)
fifty             num.五十，五十个
fight             v./n.打(仗),搏斗,斗争,战斗
figure            n.体形;轮廓;数字;图形v.描绘;计算;推测
file              n.锉刀;文件,档案 v.锉
fill              v.(with)填满,充满
film              n.电影;胶片;薄膜，薄层 vt.把..拍成电影
filter            n.滤器,滤纸
final             a.最终的,决定性的 n.结局;决赛;期末考试
finally           ad.最后,最终;决定性地
finance           n.财政,金融 v.为…提供资金
financial         a.财政的,金融的
finding           n.发现,发现物;(常pl.)调查/研究结果
find              v.(found,found)找到;发现;发觉;感到
fine              a.晴朗的,美好的,细致的 v./n.罚金,罚款
finger            n.手指;指状物;指针
finish            n.完成;结束;磨光 v.完成;结束;用完;毁掉
finite            a.有限的;[数]有穷的,限定的
fireman           n.消防队员
fire              n.火;火灾，失火;炉火 vi.开火 vt.放(枪)
fireplace         n.壁炉
firm              a.坚固的;坚决的,坚定的 n.公司,商号
first             a./ad.第一;最初;首次 n.开始pron.第一名
fisherman         n.渔夫，捕鱼人
fish              n.(pl.fish(es))鱼;鱼肉 v.捕鱼;钓鱼
fist              n.拳头 vt.用拳头打;紧握
fit               a.(病的)发作，痉挛 v./a.n.合适,试穿,安装
fitting           a.适当的,恰当的 n.(常pl.)配件,附件;装配
five              num.五 pron./a.五(个，只...)
fixture           n.固定设备;预定日期;比赛时间;定期存款
fix               v.(使)固定;修理;安装;决定;注视 n.困境
flag              n.旗
flame             n.火焰,火苗;热情;光辉 v.发火焰,燃烧
flap              n.垂下物,帽沿,袋盖 n./v.拍打,拍动
flare             v./n.闪耀,闪烁
flash             n./a.闪光(的) v.发闪光,闪亮;闪现
flat              a.平坦的,扁平的,平淡的 n.一套房间;平面
flatter           vt.奉承;使高兴;使满意;胜过
flat              平坦的,扁平的
flavor            n.(flavour)情味;风味;滋味 v.给…调味
flaw              n.裂缝;缺陷 v.使破裂;使有缺陷
fleet             n.舰队,船队
flee              v.逃走;逃避
flesh             n.肉,肌肉
flexible          a.柔韧的,易弯曲的,灵活的,能变形的
flight            n.飞翔,飞行;航班;航程;逃跑;楼梯的一段
fling             v.(用力地)扔,抛,丢
float             n.飘浮;漂流物 v.浮动;漂浮;传播;动摇
flock             n.(一)群,(禽,畜等的)群;大量 v.群集,成群
flood             n.洪水,水灾 v.淹没,发大水,泛滥
floor             n.地板,(楼房)的层
flourish          n./v.繁荣,茂盛,兴旺
flour             n.面粉
flower            n.花;精华，精粹，精英;盛时 vi.开花
flow              v.流,流动 n.流量,流速
fluctuate         v.(使)波动;(使)起伏
fluent            a.流利的,流畅的
fluid             a.流动的,液体的 n.流体,液体
flu               n.(influenza)流行性感冒
flush             n.脸红v.发红;奔流a.洋溢的;富裕的;齐平的
fly               n.飞行;苍蝇 v飞行;飘杨 a.机敏的
foam              v./n.泡沫,起泡沫
focus             n.焦点,(活动,兴趣等的)中心 v.(on)使聚集
fog               n.雾气，雾 v.以雾笼罩，被雾笼罩
fold              v.折叠;合拢;抱住 n.褶,褶痕;羊栏;信徒
folk              n.人们;民族;亲属 a.民间的
following         a.下列的，下述的，其次的，接着的
follow            v.跟随,接着;领会;沿着…前进,遵循;结果是
fond              a.(of)喜爱的,爱好的
food              n.食物，粮食，养料
foolish           a.愚笨的,愚蠢的
fool              n.傻子，笨蛋vt.欺骗，愚弄vi.干蠢事
football          n.足球
foot              n.(pl.feet)脚，足;英尺;底部
footstep          n.脚步(声),足迹
forbid            v.禁止,不许
force             n.力量,力;势力;(pl.)(总称)军队 v.强迫
fore              ad.在前面 a.先前的;在前部的 n.前部
forecast          v./n.预测,预报
forehead          n.前额;(任何事物的)前部
foreign           a.外国的,(to)无关的;外来的;异质的
foreigner         n.外国人
foremost          a.最先的;最初的; 主要的 ad.首要地
foresee           v.预见,预知
forest            n.森林
forever           adv.(for ever)永远;总是
forget            v.忘记,遗忘
forge             v.锻造,伪造 n.锻工车间;锻炉
forgive           v.原谅,饶恕
fork              n.叉,耙;叉形物;餐叉
formal            a.正式的;形式的
formation         n.形成;构成;组织;构造;编制;塑造
format            n.(出版物的)开本,版式,格式 vt.设计;安排
former            a.以前的,在前的 pron.前者
formidable        a.强大的;令人敬畏的;可怕的;艰难的
form              n.形状,形式;表格 v.组成,构成;形成
formula           n.(pl.formulae)公式;规则;分子式;药方
formulate         v. 用公式表示;规划;设计;系统地阐述
for               prep.为了;给;代替;向;支持 conj.因为?
forth             ad.向前;向外，往外
forthcoming       a.即将到来的;准备好的;乐意帮助的;n.来临
fortnight         n.两星期
fortunate         a.幸运的,侥幸的
fortune           n.运气;命运;财产;财富
forty             num./a.四十 pron.四十(个，只...)
forum             n.论坛,讨论会
forward           ad.(also forwards)向前 a.向前的 v.转交
fossil            n.化石
foster            vt.养育;收养;怀抱;鼓励 a.收养的 n.养育者
foul              a.污秽的;邪恶的 v.弄脏;妨害;犯规 n.犯规
foundation        n.基础,根本,建立,创立;地基,基金,基金会
found             vt.建立;创立;创办;使有根据;铸造;熔制
fountain          n.泉水,喷泉,源泉
four              num.四 pron./a.四(个，只...)
fourteen          num.十四，十四个
fox               n.狐狸
fraction          n.碎片,小部分,一点儿;分数
fracture          n.裂缝(痕);骨折 v.(使)断裂,(使)折断
fragile           a.易碎的，脆的，易损坏的;虚弱的，脆弱的
fragment          n.碎片,小部分,片断
fragrant          a.香的;芬芳的
frame             n.框架;体格;骨架;组织;机构 v.设计;制定
framework         n.构架;框架;结构;组织;机构
frank             a.坦白的,直率的
fraud             n.欺诈，诈骗;欺骗(行为);骗子;假货
free              a.自由的;免费的;免税的;空闲的 vt.释放
freedom           n.自由,自主,免除,特权
freeze            v.使结冰,使凝固
freight           n.货物,货运,运费
frequency         n.频率,周率
frequent          a.时常发生的,频繁的
fresh             a.新鲜的,无经验的
friction          n.磨擦,摩擦力
friday            n.星期五
fridge            n.(refrigerator的略语)冰箱
friendly          a.友好的,友谊的
friend            n.朋友
friendship        n.友谊,友好
frighten          v.使惊恐
fright            n.恐怖
fringe            n.边缘;(窗帘)缘饰;额前垂发 vt.饰…的边
frog              n.蛙
from              prep.从，自从;由于;离;根据，按;去除
front             a.前面的,前部的 n.正面;前线,战线 v.面对
frontier          n.国境,边境;尖端,新领域
frost             n.霜,霜冻,严寒
frown             v.皱眉
fruitful          a.多产的;果实累累的,富有成效的
fruit             n.水果,果实;成果,效果
frustrate         vt.挫败,阻挠,使灰心
fry               v.油煎,油炸
fuel              n.燃料 vt.给…加燃料
fulfill           (fulfilled, fulfilling)履行,实现,完成
full              a.(of)满的,充满的 a./ad.完全,充分
fume              n.(浓烈或难闻的)烟，气，汽
function          n.功能,作用;(pl.)职务;函数 v.起作用
fundamental       a.基础的,基本的 n.(pl.)基本原则,基本原理
fund              n.资金,基金;存款,现款;(知识等的)累积
funeral           n.丧葬,葬礼
fun               n.玩笑,娱乐;有趣的人(或事物)
furnish           供应，提供
fury              狂怒，暴怒
fuss              大惊小怪，乱忙，小题大做
