bachelor          n.单身汉;学士(学位)
bid               v.祝愿;命令,吩咐;报价,投标 n.出众,投标
big               a.大的;重要的;宽宏大量的;大受欢迎的
billion           num./n.(美)十亿,(英)万亿
bill              n.账单;招贴,广告;(人员,职称等的)表;钞票
bind              v.捆,绑,包括,束缚
bin               n.(贮藏食物等用的)箱子
biography         n.传记;传记文学
biology           n.生物学
bird              n.鸟，雀;女人;嘘声
birthday          n.生日;(成方)纪念日
birth             n.出生，诞生;出身，血统;起源;出现
biscuit           n.饼干,点心
bite              v./n.咬,叮 n.一口
bitter            a.(有)苦(味)的;痛苦的,厉害的
bizarre           adj.异乎寻常的，稀奇古怪的
black             a.黑(色)的;黑暗的 n.黑(色);黑暗;黑人
blackboard        n.黑板
blackmail         n.讹诈，敲诈，勒索;胁迫，恫吓
blade             n.刀刃，刀片;桨叶;草叶，叶片
blame             v.责备;怪,把…归咎于 n.责任,过错;责备
blank             a.空白的,空着的;失色的 n.空白;表格
blanket           n.毯子(可数);厚厚一层(可数) vt.铺上一层
blast             n.一阵(风);爆炸冲击波;管乐器声 v.爆炸
blaze             n.火焰;火光;闪光,光辉 v.燃烧,冒火焰
bleak             a.荒凉的;冷酷的;没有希望的
bleed             v.出血,流血
blend             n.混合(物) v.混和,混杂
bless             v.祝福,保佑
blind             a.盲的，瞎的;盲目的 vt.使失明 n.百叶窗
block             n.大块木(石)料;街区;障碍物 v.阻塞,拦阻
blood             n.血液，血;血统，血亲;血气
bloody            a.流血的,血腥的
bloom             n.花(朵);开花(期) v.开花
blossom           n.花(簇);花期;青春 vi.开花;展开;繁荣
blouse            n.女衬衣，短上衣，宽阔的罩衫
blow              vi.吹，吹气，打气;吹奏;爆炸;n.打,打击
blue              a.蓝色的;青灰色的;沮丧的,阴郁的 n.蓝色
blueprint         n.蓝图，设计图，计划 vt.制成蓝图，计划
blunder           v.(因无知等而)犯大错;踉踉跄跄地走 n.大错
blunt             a.率直的;钝的 v.(使)钝;(使)迟钝
blur              n.模糊不清的事物;污点 vt.使模糊;玷污
blush             v./n.脸红
board             n.板,木板;全体委员;伙食 v.上船(车,飞机)
boast             v.(of,about)自夸,夸耀 n.自夸,大话
boat              n.小船,艇
body              n.身体,本体;主体;尸体;物体;(一)群,批,堆
boil              v.(使)沸腾,煮(沸)
bold              a.大胆的,勇敢的;冒失的;黑体的,粗体的
bolt              n.螺栓,(门,窗的)插销 v.闩(门),关窗,拴住
bomb              n.炸弹 v.投弹于,轰炸
bond              n.结合(物),粘结(剂),联结;公债,债券,契约
bone              n.骨(骼)
bonus             n.奖金,红利
book              n.书，书籍 vt.订(票，座位，房间等)，预定
boom              v.迅速发展,兴旺;发出隆隆声
boost             n./ vt.提升;增加;抬高(价格);支援;
booth             n.电话亭,货摊
boot              n.靴;(汽车后部的)行李箱;[the-]解雇
border            n.边界,国界;边(沿) v.交界,与…接壤;接近
bore              v.钻(孔),挖(洞);烦扰 n.讨厌的人,麻烦事
born              a.出生的，产生的;天生的，十足的
borrow            vt.借，借入;(思想、文字等)采用，抄袭
bosom             n.胸，胸部;胸怀;内心;a.亲密的
boss              n.老板，上司 vt.指挥，控制，发号施令
bother            vt.打扰，麻烦 vi.担心，烦恼 n.烦恼，焦急
both              prep.两者(都)，双方(都) adj.两个..(都)
bottle            n.瓶(子) v.装瓶
bottom            n.底(部);基础,根基;海底,湖底,河床
bounce            n./vi.(球)弹起,弹回;弹起,跳起;n.弹力
boundary          n.分界线,边界
bound             v./n.跳(跃) a.被束缚的，一定的;n.界限
bowel             n.肠;[pl.]内部，深处
bowling           n.保龄球运动
bowl              n.碗(状物),钵
bow               v./n.鞠躬,点头 n.弓(形);蝴蝶结
box               n.盒，箱;包厢 v.把…装箱;拳击，打耳光
boycott           n./v.(联合)抵制,拒绝参与
boy               n.男孩子，儿子;男性服务员
brace             v.使防备;支撑;使(手,足,肩等)绷紧 n.托架
bracket           n.(方)括号
brain             n.(大)脑,骨髓;(pl.)脑力,智能
brake             v./n.制动(器),闸,刹车
branch            n.(树)条,分支;分店;(学科)分科,部门;支流
brand             n.商标,标记,牌子 v.使铭记;打火印,打烙印
brandy            n.白兰地酒
brass             n.黄铜,铜器
brave             a.勇敢的 v.勇敢地面对(危险等)
breach            n.违反，不履行;破裂 vt.冲破，攻破
bread             n.面包
breadth           n.宽度,幅
breakdown         n.崩溃;衰竭;(关系、计划或讨论等的)中断
breakfast         n.早餐 v.(给某人)吃早餐
break             vt.打破;中止;违反 vi.破(裂) n.休息时间
breast            n.胸膛,乳房
breathe           v.呼吸,吸入
breath            n.呼吸,气息
breed             v.(使)繁殖,生殖;产生;教养,抚养 n.品种
breeze            n.微风;轻而易举的事 vi.来去匆匆，急速走
bribe             n.贿赂 v.向…行贿,买通
brick             n.砖块，砖;v.用砖围砌，用砖填补
bride             n.新娘
bridge            n.桥;桥牌;鼻梁 vt.架桥;渡过
brief             a.简短的,简洁的 v.简短介绍,简要汇报
briefcase         n.手提箱，公事皮包
brief             短暂的，简短的，简洁的
bright            a.明亮的,辉煌的;聪明的;欢快的,美好的
brilliant         a.光辉的,灿烂的;卓越的,有才华的
brim              n.边缘,帽沿
bring             v.拿来，带来;产生，引起;使处于某种状态
brisk             a.轻快的;生气勃勃的;兴隆的
brittle           a.易碎的;脆弱的;冷淡的;(声音)尖利的
broad             a.宽的,广阔的;广大的;宽宏的,豁达的
broadcast         v./n.广播(节目)
brochure          n.小册子
bronze            n.青铜;青铜色，古铜色;青铜制品，铜牌
brook             n.小溪vt.[常用于否定句或疑问句]容忍
broom             n.扫帚
brother           n.兄弟;同胞;教友
brown             n./a.褐色(的),棕色(的)
brow              n.眉(毛);额
browse            vi.随意翻阅，浏览;(牛、羊等)吃草
bruise            n.青肿，挫伤;伤痕vt.打青;挫伤
brush             n.刷(子),毛刷;画笔 v.刷,擦,掸,拂;掠过
brutal            a.残忍的;严峻的;严酷的
bubble            n.泡,水泡,气泡 v.冒泡,起泡,沸腾
bucket            n.水桶,吊桶
budget            n.预算 v.做预算
bud               n.芽,花苞 v.发芽,含苞欲放
buffet            n.自助餐
bug               n.臭虫;小毛病;窃听器 v.窃听
building          n.建筑(物)，房屋，大楼 [同]structure
build             vt.建造，建筑;建设，建立 vi.增大，增强
bulb              n.灯泡,球状物
bulk              n.体积,容积;主体,大批,大量,大块
bulletin          n.公报,公告,告示
bullet            n.子弹,枪弹
bull              n.公牛
bully             n.恃强欺弱者，小流氓 vt.威胁，欺侮
bump              v.(against,into)碰;颠簸着前进 n.碰撞
bunch             n.(一)簇,束,捆,串
bundle            n.捆,包,束
burden            n.担子，重担，负担 vt.给予负担或麻烦
bureaucracy       n.官僚主义，官僚机构;(非民选的)委任官员
bureau            n.署,局,司,处
burglar           n.(入室行窃的)盗贼
burn              v.燃烧，烧着;烧毁;灼伤 n.烧伤，灼伤
burst             v.爆裂,炸破;突然发生 n.突然破裂,爆发
bury              v.埋(葬),安葬;埋藏,遮盖
bush              n.灌木(丛)
business          n.商业,生意;事务,业务,职责
bus               n.公共汽车，总线，信息通路
busy              a.忙，忙碌的;热闹的，繁忙的;(电话)占线
butcher           n.屠夫,卖肉者
but               conj.但是 prep.除...以外 ad.只，才，仅仅
butterfly         n.蝴蝶
butter            n.黄油,奶油 v.涂黄油于…上
button            n.纽扣,按钮(开关) v.扣紧;扣上纽扣
buy               vt.买，买得;向…行贿，收买vi.购买东西
bypass            n.(by-pass)旁道;vt.绕过
by                prep.被;凭借;经由;由于ad.在近旁;经过
