sacred            a.神圣的;宗教的;庄严的
specialize        v.(specialise)(in)专攻,专门研究,专业化
species           n.(物)种,种类
specification     n.详述;(常pl.)规格,说明书,规范
specific          a.明确的,具体的;特定的,特有的
specify           v.指定,详细说明
specimen          n.标本,样本
spectacle         n.(pl.)眼镜;场面,景象;奇观,壮观
spectacular       a.壮观的,引人注目的 n.壮观的演出
spectator         n.观众,旁观者
spectrum          n.谱，光谱，频谱;范围，幅度，系列
speculate         vi.思索;推测vt.投机;思索，推测
speech            n.演说,讲话;言语,语言
speed             n.速度,快 v.迅速,前进,急行;加速,使加速
spelling          n.拼法,拼写法
spell             v.拼写
spend             v.花费;消耗,用尽;度过,消磨
sphere            n.球,球体;范围,领域
spicy             a.加很多香料的;(口味)浓郁的
spider            n.蜘蛛
spill             v.溢出,溅出 n.摔下,跌下
spine             n.脊柱，脊椎;(动植物的)刺;书脊
spin              v.旋转;纺纱;织网,吐丝 n.旋转;自转
spiral            a.螺旋形的 n.螺旋，螺线 v.螺旋上升;盘旋
spirit            n.精神;志气;(pl.)情绪,心情;(pl.)酒精
spiritual         a.精神(上)的,心灵的
spite             n.恶意;怨恨
spit              v.吐(唾沫),吐痰 n.唾液
splash            溅泼
split             劈开，切开，裂开
spoil             损坏，毁掉
sponsor           发起者，主办者，保证人，赞助者
spot              斑点，污点
spray             浪花，水花
sprout            抽条，发芽，长出
spur              靴刺，踢马刺
squeeze           榨，挤
stab              刺，戳，猛的一击，突发的一阵
stack             整齐的一叠
staff             全体职员，全体雇员
stain             玷污，污染
stale             食品等不新鲜的，走味的
stall             牛舍
stamp             邮票
startle           惊吓，使吃惊
start             开始，动手
starve            使挨饿，饿死
statesman         n.政治家,国务活动家
static            a.(statical)静态的,静力的
stationary        a.静止的,固定的
stationery        n.文具
station           n.车站;所,站,局;身份,地位 v.安置,驻扎
statistical       a.统计的,统计学的
statistics        统计，统计资料
statue            n.塑像,雕像
status            n.地位,身份;情形,状况
statute           n.成文法，法令，法规;章程，规则，条例
stay              vi.逗留;保持vt.停止，延缓n.逗留，停留
steady            a.稳定的,不变的;坚定的v.(使)稳固/稳定
steak             n.牛排;大块肉(或鱼)片
steal             v.偷,窃取;偷偷地做,巧取
steamer           n.汽船,轮船
steam             n.水汽,蒸汽,水蒸气 v.蒸发;蒸;用蒸汽开动
steel             n.钢
steep             a.陡峭的;险峻的;急剧升降的vt.浸泡,沉浸
steer             vt.驾驶，为…操舵;引导vi.驾驶
stem              n.茎，干 vt.堵(挡)住 vi.起源于，由…造成
step              n.步;台阶,梯级;步骤,措施 v.踏,走,举步
stereo            n.立体声音响;立体声装置 n./a.立体声(的)
stereotype        n.陈规，老套，模式化 vt.使定型，使模式化
stern             a.严厉的;坚决的,坚定的 n.船尾,舟尾
steward           n.乘务员，服务员;看管人;膳食管理员
stick             n.棍,棒,手杖 v.刺,戳,扎;粘贴
sticky            a.粘的，粘性的;棘手的;(道路)泥泞的
stick             棍，棒，手杖
stiff             a.硬的,僵直的;拘谨的;呆板的;艰难的
still             a.静止的，寂静的 ad.还，仍然;更;安静地
stimulate         v.刺激,使兴奋;激励,鼓舞
sting             v./n.刺,刺痛,剧痛;刺,叮
stir              v.搅拌,搅动;动,摇动;激动;轰动;煽动,鼓动
stitch            n.一针;(因跑步引起的)肋部剧痛 v.缝(合)
stocking          n.长(统)袜
stock             n.备料,库存,现货;股票,公债 v.储存
stomach           n.胃，胃口;肚子，腹部vt.承受，忍受
stone             n.石，石头;岩石，矿石;(水果的)核、子
stool             n.凳子;(pl.)大便
stoop             v.弯腰,俯身 n.弯腰,曲背
stop              v.停止;塞住;阻止,阻挠;逗留 n.停车站;停止
storage           n.贮藏(量),保管;库房
store             n.商店,店铺;贮藏,贮备品 v.贮藏,贮备
storey            n.(story)楼,层
storm             n.暴风雨,暴风雪;激动,爆发 v.猛攻,直捣
story             n.故事,传说,小说;(=storey)楼层
stove             n.炉子,火炉
straight          a.直的;整齐的,端正的 ad.直接;正直,直率
straightforward   a.正直的;简单的,易懂的 ad.坦率地
strain            v.拉紧;紧张;扭伤;竭尽全力 n.拉紧;负担
strange           a.奇怪的,奇异的;陌生的,生疏的;外地的
stranger          n.陌生人,生客;外地人,外国人
strap             n.皮带，带子v.用带扣住，束牢;用绷带包扎
strategy          n.战略，策略;对策，政策
strawberry        n.草莓
straw             n.稻草,麦杆;吸管
streamline        a.流线型的 vt.使成流线型;使合理化
stream            n.小河,溪流;流,一股,一串 v.流出,涌
street            n.街，街道;行车道
strengthen        v.加强,巩固
strength          n.力，力量;实力;长处，优点;人力;兵力
strenuous         a.费力的，艰辛的;奋发的，努力的
stress            n.压力;重要性;应力;重音vt.强调，重读
stretch           v.伸展，延伸 n.拉长;伸展;一段时间/路程
strict            a.(with)严格的,严厉的;严谨的,精确的
stride            vi.大踏步走;跨越 n.一大步(pl.)长足进步
strife            n.争吵;冲突，斗争;竞争
strike            n./vi.罢工 vt.打，击;攻击;给…深刻印象
striking          a.显著的;惹人注目的，容貌出众的
string            n.弦,线,细绳;(一串),(一行) v.缚,捆
stripe            n.长条，条纹;军服上表示军阶的臂章条纹
strip             v.剥,剥去 n.窄条,条纹
strive            v.奋斗,努力
stroke            n.击;报时的钟声;一击/划/笔;中风 v.抚摸
stroll            n.&v.漫步;散步;游荡
strong            a.强壮的,强大的;强烈的,浓的
structure         n.结构,构造;建筑物 v.构造,建造
struggle          n./v.斗争,奋斗,努力
stubborn          a.顽固的,倔强的;难对付的,难以克服的
student           n.(大中学校的)学生;研究者，学者
studio            n.画室;播音室;(电影)制片厂
study             vt.学习;研究;细看 vi.读书 n.学习;研究
stuff             n.原料,材料,东西 v.填满,塞满
stumble           n.跌倒，绊倒 vi.绊(摔)倒;结结巴巴说
stun              vt.使…失去知觉;使目瞪口呆，使吃惊
stupid            a.愚蠢的,迟钝的
sturdy            a.坚定的，不屈不挠的;强健的，结实的
style             n.风格,文体;式样,时式,类型
subjective        a.主观(上)的，个人的
subject           n.主题;学科 a.隶属的;易遭..的 v.使隶属
submarine         n.潜水艇 a.水底的,海底的
submerge          v.沉没,淹没;潜入
submit            v.(to)使服从,屈服;(to)呈送,提交
subordinate       a.(to)次要的,从属的;下级的
subscribe         vi.(to)订阅，订购;同意vt.捐助，赞助
subsequent        a.随后的,后来的
subsidy           n.补助金;津贴费
substance         n.物质;实质，本质;主旨;财产，资产
substantial       a.实质的;相当的;显著的;坚固的;富裕的
substitute        n.代替者;替身;代用品 v.(for)代替,替换
subtle            a.精巧的,巧妙的;细微的,微妙的
subtract          v. (from)减(去)
suburb            n.市郊,郊区
subway            n.地铁;地下行人隧道
succeed           vi.成功;继承，接替 vt.接替;继…之后
successful        a.圆满的;顺利的;成功的
succession        n.连续,系列;继任,继承
successive        a.接连的,连续的
success           n.成就，成功;成功的事物，有成就的人
successor         n.接替的人或事物，继任者
such              a.这样的;上述的ad.那么pron.这样的人/事物
suck              v.&n.吸，舐;吸收(取)
sudden            a.出乎意料的，突然的
sue               v.控告,对…提出诉讼,起诉
suffer            v.(from)受痛苦,患病;受损失;遭受;忍受
suffice           v.充足，足够;vt.(食物等)使(某人)满足
sufficient        a.(for)足够的,充分的(比enough拘谨、正式)
sugar             n.糖，食糖 vt.加糖于
suggestion        n.建议，意见;细微的迹象;暗示，联想
suggest           v.建议,提出;使联想,使想起…;暗示
suicide           n.自杀;给自己带来恶劣后果的行为
suitable          a.(for)合适的,适宜的
suite             n.套间;一套家具;套，组，系列
suit              v.合适,适合;相配,适应 n.一套西服;诉讼
sulfur            n.(sulphur)硫
summarize         v.(summarise)概括,总结
summary           n.摘要,概要 a.概括的,简略的
summer            n.夏天，夏季 a.夏季的
summit            n.顶，最高点;颠峰，高峰;最高级会议
summon            v.召唤;传讯,传唤;鼓起(勇气),振作(精神)
sum               n.总数,和;金额;算术题;要旨 v.合计,总计
sunday            n.星期日
sun               n.太阳;恒星;美国Sun公司
sunrise           n.日出，拂晓;朝霞
sunset            n.日落，傍晚;晚霞
sunshine          n.日光,日照;晴天;
super             a.极好的,超级的
superb            a.极好的,杰出的;华丽的;
superficial       a.表面的;肤浅的,浅薄的
superfluous       a.多余的，过剩的，
superior          a.优良的,卓越的;上级的 n.上级;长者;高手
superiority       n.优越(性)，优势，优等;高傲，傲慢
supermarket       n.超级市场
supersonic        a.超音速的,超声波的 n.超声波，超声频
superstition      n.迷信，迷信的观念习俗
supervise         v.管理,监督
supper            n.晚餐
supplement        n.补遗;增刊;附录 v.增刊,补充
supply            v.(with,to)供给,供应,补足 n.供应,供应量
support           n./vt.支撑;支持;赡养;维持 n.支持者;支柱
suppose           v.料想,猜想;假定;conj.假使...结果会怎样
suppress          v.镇压,压制;抑制,忍住;查禁
supreme           a.极度的,最重要的;至高的,最高的
sure              a.肯定的;一定会…的;有信心的，有把握的
surface           n.表面;外表 a.表面的，肤浅的
surgeon           n.外科医生
surgery           n.外科,外科学;手术室,诊疗室
surge             vi.汹涌;彭湃;蜂拥而至 n.巨浪;汹涌;彭湃
surname           n.姓
surpass           vt.超过,胜过
surplus           n.过剩,剩余;余款,余额 a.过剩的,剩余的
surprise          v.使诧异,使惊异;奇袭 n.诧异,惊异;奇袭
surrender         vi.投降，屈服 vt.放弃，交出 n.投降，认输
surroundings      n.周围的事物,环境
surround          vt.包围，环绕 n.环绕物
survey            v./n.俯瞰,眺望;全面审视,调查;测量图,勘定
survival          n.幸存,生存;幸存者,残存物
survive           v.幸免于,幸存;比…长命
susceptible       a.易受影响的;易受感动的;易受感染的
suspect           v.猜想;怀疑;察觉 a.可疑的 n.嫌疑犯
suspend           v.悬(浮)，挂;暂停，取消;推迟
suspicion         n.怀疑，猜疑;一点儿，少量
suspicious        a.(of)可疑的,多疑的,疑心的
sustain           vt.支撑,撑住;维持,持续,经受,忍耐
swallow           n.燕子;吞咽vt.吞,咽;轻信;忍受;vi.咽口水
swamp             n.沼泽;湿地 vt.浸没;使…应接不暇
swan              n.天鹅 vi.闲荡，游荡
swarm             n.蜂群;一大群 vi.涌往;挤满;云集;成群移动
sway              vi.摇动;倾斜 vt.使摇动 n.摇动;影响力
swear             v.(at)诅咒,骂人;宣誓,发誓
sweater           n.毛衣,绒衣,厚运动衫
sweat             n.汗 v.(使)出汗
sweep             v.扫,打扫;席卷,冲光;扫过,掠过
sweet             a.甜的;可爱的,美好的 n.(常pl.)糖果;甜食
swell             n./v.肿胀;膨胀;增大;增加;
swift             a./ad.快的(地);敏捷的(地)a.立刻的n.雨燕
swim              vi.游泳;游;漂浮;眩晕;充溢 vt.游过 n.游泳
swing             v.摇摆,摇荡,回转,旋转 n.秋千;摇摆,摆动
switch            n.开关;转换;鞭子 v.转变,转换;抽打
sword             n.剑，刀;武力
symbol            n.符号,标志;象征
symmetry          n.对称(性);匀称,整齐
sympathetic       a.有同情心的;赞同的;n.交感神经
sympathize        v.(sympathise)(with)同情;共鸣,同感;赞成
sympathy          n.同情，同情心;赞同，同感;慰问
symphony          n.交响乐,交响曲
symposium         n.讨论会,专题报告会;专题论文集
symptom           n.(疾病的)症状;(不好事情的)征兆,表征
synchronize       使同步，使结合，使协调
syndrome          n.综合病征;并存特性
synthesis         n.(pl.syntheses)综合,合成
synthetic         a.合成的,人造的;综合的
systematic        a.(systematical)系统的,有组织的
