daily             a.每日的 ad.每日,天天 n.日报
delicate          a.纤弱的;精致的;微妙的;灵敏的
delicious         a.美味的;美妙的;使人愉快的
delight           n.快乐,高兴 v.(使)高兴,(使)欣喜
deliver           v.交付,递送;发表,表达;释放;接生
delivery          n.递送;交付;分娩;交货;引渡
deliver           投递，传送，运输
demand            n./v.要求,请求,需要(量) v.查问
democracy         n.民主,民主制,民主国家
democratic        a.民主的
demonstrate       v.论证,证实;演示,说明
denial            n.否认;拒绝;否认某事或某事实的声明
denote            vt.表示,意味着
denounce          vt.公开指责,公然抨击;谴责
dense             a.浓厚的,密集的,稠密的
density           n.密集,密度,浓度
dental            a.牙齿的;牙科(用)的
dentist           n.牙医
deny              v.否认,否定;拒绝
department        n.部,局,处,科,部门;系,学部
departure         n.离开,起程
depart            vi.离开,起程 a.过去的,逝世的
dependent         a.依靠的,依赖的,从属的;随…而定的
depend            v.(on)取决于,依靠,信赖,相信
depict            v.描绘;描写,描述
deposit           v.存放;使沉淀;付(保证金) n.存款;沉积物
depress           v.压抑,降低;使沮丧,压下
deprive           vt.剥夺,夺去,使丧失
depth             n.深，深度,深奥,深刻
deputy            n.代理人,代表 a.副的,代理的
derive            v.取得;导出;引申;来自;源自;出自
descendant        n.子孙,后代
descend           v.下来,下降;遗传(指财产,气质,权利)
descent           n.下降,降下;斜坡;血统,家世
describe          v.描述,形容
description       n.描写,形容;种类
desert            n.沙漠,不毛之地 v.抛弃,遗弃;擅离,开小差
deserve           v.应受,值得
designate         v.指明,指出;任命,指派
design            v.设计;构思;绘制;图案;企图 n.设计,图样
desirable         a.值得做的;合意的,称心的;期望得到的
desire            v./n.愿望,欲望,要求
desk              n.书桌，办公桌，服务台
desolate          a.荒凉的;孤独的 v.使荒芜
despair           n.绝望;失望;令人失望的人(事物)v.绝望
despatch          n./v.(dispatch)派遣;发送 n.急件;新闻报道
desperate         a.不顾一切的，铤而走险的;绝望的，危急的
despise           v.轻视,蔑视
despite           prep.不管,不顾
dessert           n.正餐后的水果或甜食
destination       n.目的地,终点
destiny           n.命运;天数,天命
destroy           v.破坏,摧毁,消灭
destruction       n.毁坏，毁灭(的原因)
destructive       a.破坏性
detach            vt.分开, 分离, 分遣, 派遣(军队)
detail            n.细节,详情 v.详述
detain            v.耽搁;扣押,拘留
detective         n.侦探
detector          n.发现者,侦察器,探测器,检波器,检电器
detect            v.察觉,发觉,侦察,探测
deteriorate       v.(使)恶化,(使)变坏
determine         v.决心,决定;确定,限定
develop           v.发展,开发,研制;显现,显影;发育,生长
deviate           v.(from)背离,偏离
device            n.装置,设备,仪表;方法,设计
devil             n.魔鬼
devise            vt.设计;发明;图谋;作出(计划);想出(办法)
devote            v.(to)奉献,致力
dew               n.露水
diagnose          vt.诊断(疾病);判断(问题)
diagram           n.图表;图解
dialect           n.方言
dial              n.钟(表)面,刻度盘,拨号盘 v.拨号,打电话
dialog            n.(dialogue)对话,对白
diameter          n.直径
diamond           n.金钢石,钻石;菱形
diary             n.日记,日记簿
dictate           v.口授;(使)听写;指令,指示,命令;
dictation         n.听写,口述;命令
dictionary        n.词典,字典
diet              n.饮食,食物
die               vi.死，死亡;(草木)枯萎，凋谢;渴望
difference        n.差别,差异,分歧
different         a.差异的,差异的,不同的
differentiate     v.区分,区别;(使)不同
differ            v.(from)与…不同;(with)与…意见不同
difficult         a.困难的,艰难的
difficulty        n.困难,困境,难题
diffuse           v.扩散;传播 a.(文章等)冗长的,漫无边际的
digest            vt.消化;领会，融会贯通 n.文摘，摘要
digital           a.数字的;数位的;手指的 n.数字
dignity           n.(举止,态度等的)庄严,端庄;尊贵,高贵
dig               v.挖,掘
dilemma           n.(进退两难的)窘境,困境
diligent          a.勤奋的,用功的
dilute            vt.稀释，冲淡 a.稀释的，冲淡的
dim               a.暗淡的,模糊的
dimension         n.尺寸,尺度;维(数),度(数)
diminish          v.缩小,减少,递减
dine              v.吃饭,进餐
dinner            n.正餐,宴会
diploma           n.毕业文凭,学位证书
diplomatic        a.外交的,从事外交的;策略的,有手腕的
diplomat          外交家，外交官，圆滑的人
dip               v./n.浸,蘸
direct            a./ad.径直的(地) v.管理,指导;(at,to)指向
direction         n.方向,方位;指令,说明
directly          ad.直接地,径直地;马上,立即
director          n.指导者,主任,导演
directory         n.人名地址录,(电话)号码簿
dirt              n.污物,污垢
dirty             a.弄脏的;下流的 v.弄脏,玷污
disable           vt.使残废;使失去能力;丧失能力
disappear         v.不见,消失
disappoint        vt.失望;(希望等)破灭，挫败(计划等)
disaster          n.灾难,大祸;彻底的失败
disastrous        a.灾难性的
discard           vt.丢弃，抛弃，遗弃
discern           v.认出,发现;辨别,识别
discharge         v./n.卸货,排出;发射,放(电);遣散,解雇
discipline        n.纪律,学科
disclose          v.揭示,泄露
disc              n.(disk)圆盘,圆面,盘状物
discount          n.折扣;贴现(率) vt.打折扣;不重视
discourage        v.使泄气,使失去信心
discourse         n.论文;演说;谈话;话语 vi.讲述,著述
discover          v.发现,显示
discovery         n.发现;被发现的事物
discreet          a.(言行)谨慎的;慎重的;有判断力的
discrepancy       n.相差;差异;矛盾;
discriminate      v.区别,辨别;(against)有差别地对待,歧视
discuss           vt.讨论,商议
disease           n.疾病
disgrace          n.失宠,耻辱 v.使失宠;玷辱,使蒙羞
disguise          n./v.假装,伪装
disgust           n.厌恶,恶心 v.使厌恶
dish              n.碟子,盘子,菜肴
dislike           n./v.不喜欢,厌恶
dismay            n./v.(使)沮丧;(使)惊慌;(使)失望,(使)绝望
dismiss           v.免职,解雇,开除,解散
disorder          n.混乱,杂乱;骚乱;失调,疾病
disperse          v.(使)分散;(使)散开;疏散
displace          v.移置,转移;取代,置换
display           v./n.陈列,展览,显示(器)
disposal          n.处理,处置;布置,安排
dispose           v.(of)处理,处置;(for)布置,安排
disposition       n.排列,部署;性格倾向;倾向,意向
dispute           n.争论,争执 v.争论,辩论;反驳;怀疑;阻止
disregard         vt.不理会;忽视;漠视 n.忽视;漠视
disrupt           vt.使混乱，使崩溃，使分裂，使瓦解
dissipate         v.驱散;(使云、雾、疑虑等)消散;挥霍
dissolve          v.(使)溶解,(使)融化;解散,取消
distance          n.距离,间隔,远方,路程
distant           a.远的;遥远的;疏远的;不亲近的
distill           vt.蒸馏，用蒸馏法提取;吸取，提炼
distinct          a.清楚的,明显的;(from)截然不同的
distinction       n.区别,差别;级别;特性;声望;显赫
distinct          有区别的，不同的
distinguish       v.(from)区别,辨别;辨认出;使杰出
distort           v.弄歪(嘴脸等);扭曲;歪曲(真理、事实等)
distract          v.分散;使分心;打扰;使心情烦乱
distress          n.苦恼;危难;不幸 v.使苦恼
distribute        v.分发;分配;分布;配(电);(over)散布
district          n.地区,行政区;美国各州的众议院选区
disturbance       n.动乱,骚乱,干扰
disturb           v.扰乱,妨碍,使不安
ditch             n.沟,沟渠,水沟
diverse           a.多种多样的,(from)不同的
diversion         n.转向,转移;牵制;解闷;娱乐
divert            vt.使转向，使改道;转移(注意力);使娱乐
dive              v./n.潜水,跳水,俯冲
dividend          n.红利，股息;回报，效益;被除数
divide            v.分,划分,分开;分配;(by)除
divine            a.神的，神授的，天赐的;极好的，极美的
division          n.分,分割;部门,科,处;除法;分界线
divorce           v./n.离婚,分离
dizzy             a.头晕目眩的,眩晕的;(可能)使人头晕的
do                aux.v. vt.做，干，办，从事;引起 vi.行动
dock              n.船坞,码头
doctorate         n.博士学位;博士头衔
doctor            n.医生;博士 vt.授以博士学位;诊断;修改
documentary       a.文献的 n.记录片
document          n.公文,文献
dog               n.狗，雄兽 vt.尾随，跟踪
dollar            n.(美国,加拿大等国货币单位)美元,加元
doll              n.玩偶,玩具娃娃
domain            n.(活动,思想等)领域,范围;领地
dome              n.圆屋顶
domestic          a.家里的;本国的;驯养的
dominant          a.支配的,统治的,占优势的
dominate          v.支配,统治,控制;占优势
donate            vt.损赠(金钱等);赠予
donkey            n.驴子;蠢人;顽固的人
doom              n.厄运,劫数 v.注定,命定
door              n.门;门口，出入口;门状物;家;通道
doorway           n.门口
dorm              n.(dormitory)[美][口]宿舍
dose              n.剂量,一服,一剂 v.(给…)服药
dot               n.点,圆点 v.在…上打点
doubt             n./v.怀疑,疑虑
dove              n.鸽子
down              ad.下;由大到小 prep.沿着…而下 a.向下的
downstairs        ad.在楼下,往楼下
downtown          ad.在城市的商业区 n./a.城市商业区(的)
downward          a.向下的 ad.(also downwards)向下,往下
dozen             n.一打,十二个
doze              v./n.瞌睡;假寐
draft             n.草稿,草案,草图 v.起草,草拟
dragon            n.龙
drag              v.拖,拖曳
drain             n.排水沟,阴沟;消耗,负担 v.排去,放干
drama             n.剧本,戏剧;戏剧性事件或场面
dramatic          a.戏剧的,戏剧性的;剧烈的
drastic           a.激烈的,严厉的;(药性等)猛烈的
drawback          n.欠缺,缺点;退还的关税
drawer            n.抽屉
drawing           n.绘图,图样
draw              v.拉;画;汲取;引出;(to)挨近 n.平局;拖曳
dread             v./n.恐惧,担心
dream             n./v.梦,梦想,幻想
dress             n.服装,童装,女装 v.穿衣,打扮
drift             v./n.漂,漂流(物)
drill             v.练习;操练;钻孔 n.操练;练习;钻孔(机)
drink             v.(drank,drunk)喝，饮 n.饮料;喝酒
drip              v.滴下,漏水 n.滴,水滴,点滴
driver            n.驾驶员
drive             v.开(车);驱;驱动,把(钉,桩)打入 n.驾驶
drop              n.滴;落下;微量 v.落下;下降;失落
drought           n.旱灾,干旱
drown             v.溺死,淹没
drug              n.药物;麻醉品;毒品;滞销货 v.下麻药;吸毒
drum              n.鼓;圆桶
drunk             a.醉酒的;(喻)陶醉的 n.酗酒者，醉汉
dry               a.干(旱)的;干渴的;枯燥 vt.使干燥，晒干
dubious           a.怀疑的，无把握的;有问题的，靠不住的
duck              n.鸭,鸭肉 v.迅速俯身;快速低头;躲避
due               a.(to)应支付的;(车,船等)预定应到达的
dull              a.单调的;迟钝的,愚笨的;不锋利的
dumb              a.哑的,无言的
dump              v.倾倒,倾卸 n.垃圾场
duplicate         n.复制品 v.复写,使加倍 a.复制的,二重的
durable           a.持久的,耐久的
duration          n.持久;期间;持续时间
during            prep.在…期间
dusk              n.薄暮,黄昏
dust              n.灰尘,尘土 v.拂,掸
duty              n.义务,责任;职务;税
dwarf             n.矮子，侏儒，矮小的动植物 vt.使…矮小
dwell             （dwelt 或 dwelled ）（尤指作为常住居民）居住
dwelling          n.住宅,寓所
dwell             v.住,居留
dye               n.染料 v.染,染色
dynamic           a.动力的,电动的;有生气的
dynasty           n.王朝,朝代
