taboo             v.禁忌，忌讳
train             n.列车;行列,系列,一串 v.训练,培养
trait             n.特征,特点,特性
traitor           n.叛徒,卖国贼
tram              n.有轨电车
tramp             n./v步行;沉重的脚步声(走)v.践踏n.流浪者
transaction       n.办理,处理;交易,事务;(pl.)会报,学报
transcend         vt.超出,超越(经验、知识、能力的范围等)
transfer          vt./n.转移;转换;转让;过户;迁移;改乘
transform         vt.改变,变换;变压;转化;改造,改造
transient         a.短暂的，转瞬即逝的;临时的，暂住的
transistor        n.晶体管;晶体管收音机
transition        n.转变，变迁，过渡(时期)
translate         v.翻译，解释;转化，
translation       n.翻译;译文,译本
transmission      n.播送,发射;传动,传送
transmit          vt.传输/导;转送;发射 vi.发射信号;发报
transparent       a.透明的，透光的;易理解的;明显的
transplant        n./v.移植(植物;组织,器官等);迁移;
transport         v.运输,运送,搬运n.运输;运输系统,运载工具
trap              n.陷阱，圈套 vt.诱捕;使中圈套 vi.设圈套
trash             n.垃圾;拙劣的作品;渣滓，败类
travel            n.旅行 v.旅行;行进,传播
tray              n.盘,碟,托盘
treason           n.谋反,通敌,叛国
treasure          n.财宝,财富;珍品 v.珍爱,珍惜
treat             v.对待;治疗;论述;款待,请客 n.款待,请客
treaty            n.条约，协议，协商
tree              n.树,树状物 vi.爬上树
tremble           n.战栗,颤抖 v.发抖,颤抖;摇动;焦虑
tremendous        a.巨大的,极大的
trench            n.&v.(挖)沟，(挖)战壕
trend             n.倾向,趋势 vi.伸向,倾向
trial             n.讯问，审讯;试验;试用;尝试
triangle          n.三角(形)
tribe             n.种族，部落;(植物，动物)族，类
tribute           n.贡品;颂词,称赞,(表示敬意的)礼物
trick             n.诡计,骗局;恶作剧;窍门 vt.欺骗,哄骗
trifle            n.少量;小事,琐事 v.玩弄;嬉耍;忽视
trigger           n.扳机 vt.触发，引起
trim              a.整齐的,整洁的 v./n.整理,修整,装饰
triple            n.三倍数 a.三倍的;三部分构成的v.使成三倍
trip              n.旅行,远足 v.绊倒;失足;犯错
triumph           n.胜利,成功 v.得胜,战胜
trivial           a.琐碎的;无足轻重的
trolley           n.手推车;(英)无轨电车,(美)有轨电车
troop             n.(pl.)部队,军队;(一)群/队 v.群集,集合
tropical          a.热带的
tropic            n.回归线;[the T-s]热带地区
trouble           n.烦恼;动乱;疾病;故障;辛苦v.(使)烦恼
troublesome       a.令人烦恼的,讨厌的
trousers          n.裤子
truck             n.卡车,载重汽车
true              a.真实，不假的;忠实，可靠的;正确无误的
trumpet           n.喇叭,小号
trunk             n.大衣箱,皮箱;(汽车后部)行李箱;树干,躯干
trust             vt.信任;盼望;委托 n.(in)信任,依赖;委托
truth             n.真实，真相;真实性;真理
try               v.尝试，试图;试验，试用;审讯 n.尝试
tube              n.管,软管;电子管,显像管;地铁
tub               n.木盆,澡盆
tuck              v.卷起;塞进
tuesday           n.星期二
tug               v.用力拖(或拉);苦干 n.拖;苦干;拖船
tuition           n.学费;(某一学科的)教学，讲授，指导
tumble            v.(使)摔倒;打滚,翻腾 n.摔跤,跌倒
tumour            n.(tumor)(肿)瘤，肿块
tune              n.调子,曲调;和谐,协调 vt.调音,调节,调整
tunnel            n.隧道,山洞
turbine           n.汽轮机,涡轮机
turbulent         a.狂暴的,无秩序的
turkey            n.火鸡(肉)
turnover          n.翻倒(物);人员调整;(资金等)周转;营业额
turn              v./n.(使)转动;(使)旋转;(使)转变 n.机会
tutor             n.导师;家庭教师 v.辅导;当导师;当家庭教师
tV                n.(television)电视;电视机
twelve            num.十二 pron./a.十二(个，只...)
twenty            num.二十 pron./a.二十(个，只...)
twice             ad.两次,两倍
twin              a.双的,成对的,孪生的 n.孪生子,双生子
twinkle           vi.(星等)闪烁，(眼情)发亮 n.闪烁，闪光
twist             v.捻;拧;扭曲;蜿蜒曲折而行 n.拧;歪曲;曲折
two               num.二，两个n.两个(人或物)
type              n.型式，类型;印刷字体;活/铅字 v.打字
typewriter        n.打字机
typhoon           n.台风
typical           a.(of)典型的,有代表性的
typist            n.打字员
