ice-cream         n.冰淇淋
indifferent       a.冷漠的,不关心的,不积极的
indignant         a.愤慨的,愤慨不平的
indignation       n.愤怒,愤慨
indispensable     a.(to,for)必不可少的,必需的
individual        a.个人的,单独的;独特的 n.个人,个体
indoor            a.室内的,户内的
induce            v.引诱,劝使;引起,导致;感应
indulge           v.放任，纵容，沉溺;使(自己)纵情享受
industrial        a.工业的,产业的
industrialize     v.(industrialise)(使)工业化
industry          n.工业,产业;勤劳,勤奋
inertia           n.不活动,惰性;惯性
inevitable        a.不可避免的,必然发生的
infant            n.婴儿,幼儿
infectious        a.传染的,传染性的,有感染力的
infect            vt.传染，感染;影响(思想等)
inference         n.推论,推理,推断;结论
inferior          a.下等的,下级的;劣等的,差的 n.下级,晚辈
infer             v.推论,推断
infinite          a.无限的,无穷的 n.无限
inflation         n.通货膨胀
influence         n.(on)影响,感化;势力,权势 v.影响,感化
influential       a.有影响的;有权势的
information       n.通知,报告;情报,资料,消息;信息
inform            v.(of,about)通知,告诉,报告;告发,告密
infrared          a./n.红外线(的)
infrastructure    n.基础结构，基础设施
ingenious         a.机敏的;有独创性的;精致的;精巧制成的
ingredient        n.(混合物的)组成部分，配料;成份，要素
inhabitant        n.居民,住户
inhabit           vt.居住于,存在于;栖息于
inhale            v.吸入(气体等)，吸(烟)
inherent          a.固有的,内在的,天生的
inherit           vt.继承(金钱等)，经遗传而得(性格、特征)
inhibit           vt.抑制，约束
initial           a.最初的,开头的;词首的 n.词首大写字母
initiate          vt.开始，创始，发动;启蒙，使入门;引入
initiative        a.创始的,起始的 n.第一步,创始,主动精神
inject            vt.注射(药液等);注入
injure            v.损害,损伤,伤害
injury            n.伤害，损害
ink               n.墨水，油墨
inland            a./ad.国内,内地,内陆
inlet             n.水湾,小湾;进口,入口
inner             a.内部的,里面的;内心的
inn               n.小旅馆,客栈
innocent          a.(of)清白的,无罪的;无害的;单纯的,无知的
innovate          革新，改革，创新(in,on/upon)
innovation        n.改革，革新;新观念，新方法，新发明
innumerable       a.无数的,数不清的
in                prep.在…里(内，上);用…(表示)ad.进，入
input             n./v.输入
inquire           询问，打听
inquiry           n.(enquiry)询问,打听,调查
insect            n.昆虫
insert            v.插入,嵌入;登载 n.插入物
inside            a.里面的 ad.在里面 n.内部 prep.在…里
insight           n.洞察力,见识
insist            vi.(on)坚持要求,坚决主张,坚持
inspect           vt.检查,调查,视察
inspiration       n.灵感;鼓舞,激励
inspire           vt.鼓舞,激起;使产生灵感
installation      n.安装,设置;装置,设备
installment       n.(instalment)分期付款;(连载的)一期
install           vt.(instal)安装,设置,安置;使就职,任命
instance          n.例子,事例,例证
instantaneous     a.瞬间的,即刻的
instant           a.立即的;紧迫的;(食品)速溶的 n.瞬间,时刻
instead           ad.代替,顶替
instinct          n.本能,直觉,天性
institute         n.学会,研究所;学院 v.设立,设置,制定
institution       n.公共机构;协会;学校;研究所;制度;惯例
instruction       n.教授;指导;(pl.)用法说明(书),操作指南
instruct          v.教,教授;命令,指示
instrumental      a.仪器的;器械的;乐器的;起作用的;有帮助的
instrument        n.工具,仪器,器械;乐器
insulate          vt.隔离,孤立;使绝缘,使绝热
insult            vt./n.侮辱,凌辱
insurance         n.保险,保险费,保险业
insure            vt.保险,给…保险;保证
intact            a.完整无缺的,未经触动的,未受损伤的
integral          a.构成整体所必需的;完整的
integrate         v.(into,with)(使)成为一体,(使)结合在一起
integrity         n.正直,诚实;完整,完全
intellectual      n.知识分子 a.智力的，理智的，有理解力的
intelligence      n.智力,聪明;理解力;情报,消息,报导
intelligent       a.聪明的,明智的,理智的
intelligible      a.可理解的，明白易懂的，清楚的
intend            vt.想要,打算,企图
intense           a.强烈的,剧烈的;热烈的,热情的
intensity         n.强烈,剧烈;强度
intensive         a.加强的,集中的,深入细致的,精耕细作的
intention         n.意图,意向,目的
interact          v.互相作用,互相影响
intercourse       n.交流,交往,交际,性交
interesting       a.有趣的,引人入胜的
interest          n.(in)兴趣,重要性;利益v.(in)使发生兴趣
interface         n.接合部位，分界面 v.(使)互相联系
interference      n.(in)干涉,干预;(with)妨碍,打扰
interfere         v.(in)干涉,干预;(with)妨碍,打扰
interim           a.中间的,暂时的,临时的 n.过渡时期,暂定
interior          a.内部的,里面的 n.内部,内地
intermediate      a.中间的,居间的;中级的 n.中间体,媒介物
intermittent      a.间歇的,断断续续的
internal          a.内部的,内的;国内的,内政的
international     a.国际的,世界(性)的,跨国的
internet          n.[the～]国际互联网，因特网
interpret         vt.解释,说明;口译
interrupt         v.中断,遮断,阻碍;打断(话),打扰
intersection      n.相交，交叉;道路交叉口，十字路口
interval          n.间隔,间歇;(幕间或工间)休息
intervene         v.(in)干涉,干预;插入,介入
interview         v./n.接见,会见;采访;面试
intimate          a.亲密的,密切的 n.熟友,熟人
intimidate        vt.胁迫，威胁(某人做某事)
into              prep.到...里面，进入;成为(表示变化)
intricate         a.复杂的,错综的,难以理解的
intrigue          n.阴谋v.密谋,私通;激起…的兴趣;诡计取得
intrinsic         a.(指价值、性质)固有的，本质的，内在的
introduce         vt.介绍;引进，传入;提出(议案等)
introduction      n.(to)介绍;传入,引进;导言,导论,绪论
intrude           vi.闯入,侵入vt.把(思想等)强加于人;强挤入
intuition         n.直觉，直观;凭直觉而知的事物
invade            vt.入侵,侵略,侵袭,侵扰
invalid           n.病人,伤残人 a.有病的,伤残的;无效的
invaluable        a.非常宝贵的,无价的
invariably        ad.不变地，永恒地，总是
invasion          n.入侵,侵略,侵犯
invention         n.发明,创造,发明物
inventory         n.详细目录,存货,财产清册,总量
invent            v.发明,创造;捏造,虚构
inverse           a.相反的,倒转的,反转的 n.相反之物 v.倒转
invert            v.倒置,倒转,颠倒
investigate       v.调查,调查研究
investment        n.投资,投资额
invest            vt.投资,投入(精力、时间等)
invisible         a.看不见的,无形的
invitation        n.邀请,招待;请柬
invite            vt.邀请,招待
involve           v.卷入,陷入,连累;包含,含有,涉及
inward            ad.向内,在内 a.向内的,在内的,里面的
iron              n.铁,铁制品,烙铁,熨斗 v.熨(衣),熨平
irony             n.反话, 讽刺, 讽刺之事
irrespective      a.不顾的,不考虑的,无关的
irrigate          vt.灌溉，修水利 vi.进行灌溉
irritate          vt.激怒,恼火,使急躁
island            n.岛，岛屿;(道路上的)交通安全岛
isle              n.小岛(用于诗歌中)
isolate           vt.隔离,孤立
issue             n.问题,争端,发行(物),期号 vt.发行,流出
item              n.条(款)，项目;一则(新闻)，(戏剧的)节目
it                pron.它;[作无人称动词的主语]
itself            pron.(it的反身代词)它自己，它本身
its               pron.[it的所有格]它的
