wage              n.(常pl.)工资,报酬 vt.进行,开展
wink              v.(使)眨眼;眨眼示意 n.眨眼;小睡，打盹
winter            n.冬季，冬天
win               vi.获胜，赢 vt.赢得;在…中获胜 n.胜利
wipe              v./n.擦,揩,抹
wire              n.金属线,电线;电报,电信 v.发电报(给)
wisdom            n.智慧,明智;名言,格言
wise              a.有智慧的,聪明的
wish              v.希望;但愿;祝 n.愿望，希望;[pl.]祝愿
witch             n.女巫, 巫婆，巫师
withdraw          v.收回,撤消;缩回,退出;提取(钱)
withhold          vt.使停止;拒给;保留;抑制 vi.忍住
within            prep.在…里面,在…以内 ad.在内
without           prep.无，没有 n.外面，外部
with              prep.跟…一起;用;具有;关于;因;随着
withstand         vt.抵抗,经受住
witness           n.目击者,证人;证据,证明 v.目击,目睹;作证
wit               n.智力,才智,智慧
wolf              n.狼
woman             n.(pl.)women妇女，成年女子
wonderful         a.惊人的,奇妙的;极好的
wonder            n.惊奇,惊异;奇迹,奇事 v.(at)诧异;想知道
wooden            a.木制的;呆笨的
wood              n.木材，木头，木料;(pl.)森林，林地
wool              n.羊毛,毛线,毛织品
word              n.词，词语;言语，话;谈话;消息，信息
worker            n.工人，工作者，工作人员
work              n.工作(量);作品;[pl.]工厂 v.工作;运转
workshop          n.车间，工场，修理厂;研讨会，讲习班
world             n.世界，地球;…界，领域;世间;全世界
worldwide         a.全世界的,世界范围的 ad.遍及全世界
worm              n.虫,蠕虫
worry             v.烦恼;(about)对…感到烦恼 n.烦恼,焦虑
worse             a./ad.更坏,更差(的/地)
worship           n.礼拜,礼拜仪式;崇拜 v.崇拜,敬仰;做礼拜
worst             a./ad.最坏(的),最差(的)
worth             n.价值 a.值…的,价值…的,值得…的
worthwhile        a.值得(做)的
worthy            a.(of)值得…的,配得上…的;有价值的
worth             值……钱
would             aux./v.将;可能;将会;总是，总会;宁愿
wound             n.创伤,伤口 v.伤,伤害
wrap              v.裹,缠,卷,包 n.披肩,围巾
wreath            n.花环,花圈
wreck             n.失事船(或飞机)v.(船等)失事,遇难;破坏
wrench            v.猛拧;挣脱;使扭伤 n.扳手;痛苦，难受
wretched          a.可怜的;悲惨的;肮脏的;恶劣的
wrinkle           n.皱纹 v.起皱,皱眉
wrist             n.腕,腕关节
write             v.写，书写，写字;写作;写信(给)，函告
writing           n.写,写作;著作,作品
wrong             a.错的 ad.错误地，不正确地 n.错误 v.委屈
xerox             静电复印（法），静电复印件，静电复印机
X-ray             n.X射线,X光
yard              n.院子,场地;码
yawn              v.打呵欠 n.呵欠
yearly            a.每年的，一年一度的 ad.每年，一年一次地
year              n.年，年度，学年 a./ad.每年，一年一次
yellow            a.黄的，黄色的 n.黄色
yell              vi.大叫;呼喊 vt.叫着说 n.叫声;喊声
yes               ad.是[用于肯定句前]，是的
yesterday         n.&ad.昨天;前不久
yet               ad.还，尚，仍然;已经 conj.然而 ad.甚至
yield             v.出产,生长;(to)屈服,服从 n.产量,收获
young             a.年轻的，幼小的;没经验的 n.青年人
youngster         n.小伙子，年轻人;少年，儿童
you               pron.你;你们;一个人，任何人
your              pron.[you的所有格]你的，你们的
yourself          pron.[反身代词]你自己;你亲自
yours             pron.[you的物主代词]你(们)的(所有物)
youth             n.青年;年轻人
zeal              n.热心，热忱，热情
zebra             n.斑马
zero              n.零,零度 num.零
zigzag            n./a.之字形(的) v.使曲折,曲折盘旋
zinc              n.锌
zip               v.(用拉链或像拉链那样)合上或打开
zone              n.地区,区域 v.分区,划分地带
zoom              vi.(飞机)陡升 n.陡升;嗡嗡声
zoo               n.动物园

