eager             a.(for)渴望的,热切的
emit              vt.发出;放射;吐露;散发;发表;发行
emotion           n.情绪,情感,感情
emperor           n.皇帝
emphasis          n.强调,重点
emphasize         v.(emphasise)强调
empire            n.帝国
empirical         a.凭经验(或观察)的,经验主义的
employee          n.雇工,雇员
employer          n.雇主
employment        n.雇用;使用;工作,职业
employ            n./v.雇用;用,使用
empty             a.空的;空洞的 v.倒空,使成为空的
enable            v.使能够,使成为可能;授予权利或方法
enclose           v.围住,圈起,封入
enclosure         n.围住,圈起,封入,附件
encounter         n./v.遇到,遭遇
encourage         v.鼓励,怂恿
encyclopedia      n.(encyclopaedia)百科全书
endeavor          v./n.(endeavour)努力,尽力,力图
ending            n.结尾,结局
end               n.末端，端，梢;目标，目的 v.终止，结束
endow             vt.资助，捐赠;(with)给予，赋予
endurance         n.忍耐(力),持久(力),耐久(性)
endure            v.忍受,持久,持续
enemy             n.敌人，仇敌，反对者;敌人，敌军，敌国
energetic         a.精力旺盛的;积极的;有力的
energy            n.活力,精力;能,能量
enforce           v.实施,执行;强制;支持,坚持(要求,主张等)
engagement        n.约会,约定;婚约,订婚
engage            v.(in)从事,着手;约定;使订婚;保证;雇用
engineering       n.工程学
engineer          n.工程师
engine            n.发动机,引擎;火车头
enhance           v.提高,增强
enjoy             vt.享受…的乐趣;欣赏;喜爱
enlarge           vt.扩大,放大,增大
enlighten         v.启发,启蒙,教导
enormous          a.巨大的,庞大的
enough            a.(for)足够的 n.足够,充分 ad.足够地
enquire           v.(inquire)询问,打听;调查;查问
enrich            v.使富足;使肥沃;装饰;加料于;浓缩
enroll            v.(enrol)招收;登记;入学;参军;成为会员
ensure            v.确保,保证;使安全
entail            vt.使承担;需要;把(疾病等)遗传给;限定
enterprise        n.事业,企(事)业单位;事业心,进取心
entertainment     n.招待,款待;表演文娱节目
entertain         v.招待,款待;使娱乐;使欢乐;容纳,接受
enter             vt.进入;参加，加入;写入 vi.进去，进来
enthusiasm        n.热情,热心;狂热;积极性(for)
enthusiastic      a.热情的,热心的
entire            a.完全的,全部的,完整的
entitle           v.给以权利(或资格);给…称号(题名);授权
entity            n.实体;存在(物);组织,机构;本质
entrance          n.入口,门口;进入;入学,入会
entrepreneur      n.[法]企业家, 主办人
entry             n.进入,入口;通道;记载,条目
envelope          n.信封,信皮;封套
environment       n.环境,外界
envisage          v.想象，设想，展望，正视
envy              v./n.羡慕,忌妒
epidemic          a.流行性的;传染的 n.流行病;传播
episode           n.一段情节;片断;(连续剧的)一集
epoch             n.新纪元;时代;时期;【地质】世,纪,期
equal             a.相等的;胜任的n.相等的事务;对手v.等于
equality          n.同等;平等;相等;等式;等同性
equation          n.(数学)等式,方程式;(with)相等;均衡
equator           n.赤道
equipment         n.设备,器材,装置;才能
equip             v.(with)装备,配备;训练
equivalent        a.(to)相等的,等价的 n.相等物,等价物
era               n.时代,年代,阶段,纪元
erase             v.擦掉;删去;消磁
erect             v.树立,建立,使竖立 a.直立的,垂直的
erosion           n.腐蚀,磨损;削弱,减少
erroneous         a.错误的,不正确的
error             n.错误,过失
erupt             v.(尤指火山)爆发
escalate          v.(使)逐步增长(或发展)，(使)逐步升级
escape            n.逃跑,逃脱 v.逃跑;避开,避免
escort            vt.护送(卫);陪同 n.警卫，护送者;仪仗兵
especially        ad.特别，尤其，格外;专门地，主要地
essay             n.文章,短文
essence           n.本质,实质
essential         a.本质的,基本的;净化的 n.本质;要素
establishment     n.建立,设立,建立的机构(或组织)
establish         v.建立,设立;安置,使定居
estate            n.房地产;不动产;所有权;地位;生活状况
esteem            n.尊敬，尊重 vt.尊重，敬重;把…看作
estimate          v./n.估计,估价;评估
eternal           n.永久的,永恒的
ethnic            a.种族的;人种学的
evacuate          vt.撤离，疏散，排泄，剥夺
evade             vt.逃避，回避;避开，躲避
evaluate          v.估价,评价;求…的值
evaporate         v.蒸发,挥发;沉淀;发射;消失
even              ad.甚至(更) a.均匀的;平的;相等的;偶数的
evening           n.傍晚，黄昏，晚上
event             n.事件,事情
eventually        ad.终于,最后
eve               n.(节日等的)前夜,前夕
ever              ad.曾经;永远;在任何时候;究竟
every             a.每一个的，每个的;每隔…的;全部的
everybody         pron.(everyone)每人，人人
everyday          adj.每日的，日常的
everyone          pron.(everybody)每人，人人，各人
everything        pron.每件事，一切;最重要的东西
everywhere        ad.到处，各处，无论何处
evidence          n.明显;显著;根据;证据;迹象
evident           a.明显的,明白的
evil              a.邪恶的,罪恶的 n.邪恶,罪恶
evoke             vt.唤起(回忆、感情等);引起
evolution         n.进化,演变,发展,进展
evolve            v.(使)发展;(使)进化;(使)进展
exact             a.确切的,正确的,精确的
exaggerate        v.夸大,夸张
examine           v.检查,调查;对…进行考试
exam              n.(examination)考试,测验
example           n.例子,实例;模范,榜样
exceedingly       ad.极端地,非常
exceed            v.超过,胜过;越出
excellent         a.卓越的,极好的
excel             vi.胜过其他;擅长 vt.胜过，优于
exceptional       a.例外的,异常的
exception         n.例外,除外;反对;异议
except            prep.除…之外 v.除外;反对
excerpt           n./vt.摘录;引用
excess            a.过量的,额外的 n.过量;过剩;超额;无节制
excessive         a.过多的;过分的;额外
excess            超越,超过
exchange          v./n.(for)交换,兑换;交流,交易;交换台
excitement        n.刺激,激动,兴奋
excite            v.刺激,使激动;激发,激励
exciting          a.令人兴奋的,使人激动的
exclaim           v.呼喊,惊叫,大声说
exclude           v.拒绝,把…排除在外,排斥
exclusive         a.独占的;排他的;孤高的;唯一的;高级的
excursion         n.短途旅行,游览;离题;[物理]偏移,漂移
excuse            v.原谅,宽恕,免除 n.借口,辩解
execute           v.实行;实施;执行;完成;履行;处死
executive         n.总经理,董事,行政负责人 a.执行的,实施的
exemplify         v.举例证明;示范;作...的范例[榜样]
exempt            a.免除的 v.免除 n.免税者;被免除义务者
exercise          n.练习,习题;训练,锻练 v.训练,锻练;行使
exert             v.尽(力),施加(压力等),努力
exhaust           v.使筋疲力尽,耗尽;抽完 n.排气装置;废气
exhibition        n.展览会;陈列,展览
exhibit           v.展出,陈列 n.展览品,陈列品
exile             n.流放;被流放者 vt.流放，放逐，把…充军
existence         n.存在,实在;生存,生活(方式)
exist             v.存在;生存;生活
exit              n.出口,通道
exotic            a.奇异的;异国情调的;外(国)来的
expand            v.(使)膨胀,(使)扩张;张开,展开
expansion         n.扩张,膨胀;张开,伸展
expectation       n.预期,期望,指望
expect            v.预期;期望,指望
expedition        n.远征(队),探险(队)
expel             v.把…开除;驱逐;排出;发射
expenditure       n.花费;(时间,金钱等的)支出,消耗
expend            v.消费,花费
expense           n.花费,消费,消耗
expensive         a.花费的,昂贵的
experience        n./vt.经验;经历;体验;阅历
experimental      a.实验(性)的,试验(性)的
experiment        n.实验;试验 v.(on)进行实验;做试验
expertise         n.专门知识(或技能等),专长
expert            n.专家,能手 a.熟练的,有经验的;专门的
expire            v.期满,(期限)终止;呼气;断气,死亡
explain           v.解释,说明
explanation       n.解释,说明
explicit          a.详述的,明确的;坦率的;显然的
explode           v.(使)爆炸,(使)爆发
exploit           v.开拓;开发;剥削 n.功绩[勋];业绩
explore           v.勘探,探测;探究,探索
explosion         n.爆炸,爆发
explosive         a.爆炸(性)的,爆发(性)的 n.爆炸物,炸药
export            v./n.输出,出口 n.出口商品
expose            v.(to)使暴露,受到;使曝光
exposure          n.暴露,揭露;方向;陈列;遗弃;照射量
expression        n.表达;表情;声调;腔调;榨出;措词;式;符号
express           v.表达,表示 a.特快的,快速的 n.快车,快运
exquisite         a.优美的，高雅的，精致的;剧烈的，异常的
extend            v.延长,延伸;扩充;给予;提供;估价
extension         n.延长;扩大;范围;大小;尺寸;电话分机
extensive         a.广大的,广阔的
extent            n.广度,宽度,长度;程度,限度
exterior          a.外部的,外面的 n.外部
external          a.外部的;客观的;外国的;表面的;[医]外用的
extinct           a.灭绝的;熄灭了的
extinguish        v.熄灭;消灭;结束;压制;使黯然失色;偿清
extra             a.额外的,附加的 n.附加物,额外的东西
extract           v./n.拔出,抽出;摘录 n.抽取物;精华;选集
extraordinary     a.非常的;格外的;意外的;离奇的;临时的
extravagant       a.奢侈的;过分的;(言行等)放肆的
extreme           a.末端的,尽头的;极度的 n.极端;最大程度
eyebrow           n.眉毛
eye               n.眼(睛);视力;眼力;监督vt.看，审视
eyesight          n.视力
