abandon           vt.离弃，丢弃;遗弃，抛弃;放弃
alike             a.同样的，相像的ad.一样地;同程度地
alive             a.活着的;存在的;活跃的;(to)敏感的
all               a.全部的;非常的 ad.完全地，很 pron.全部
allege            v.断言，宣称;指控
alleviate         v.减轻，缓和，缓解(痛苦等)
alliance          n.同盟，同盟国;结盟，联姻
allied            结盟的，有关联的
allocate          v.分配，分派;拨给;划归
allowance         n.补贴，津贴;零用钱;减价，折扣;允许
allow             vt.允许，准许;承认;给予;(for)考虑到
alloy             n.合金vt.将…铸成合金
ally              n.同盟者，同盟国，vt.使结盟;与…有关联
almost            adv.几乎，差不多
alone             a.单独的，孤独的 ad.单独地，独自地;仅仅
along             ad.向前;和...一起，一同 prep.沿着，顺着
alongside         ad.在旁边 prep.和...在一起;在...旁边
aloud             adv.出声地，大声地
alphabet          n.字母表;初步，入门
already           ad.已，已经，早已
also              ad.而且(也)，此外(还);同样地
alternate         a.交替的，轮流的 v.(使)交替，(使)轮流
alternative       n.二选一;供选择的东西;取舍 a.二选一的
alter             vt.改变，更改;改做(衣服) vi.改变，变化
although          conj.尽管，虽然...但是
altitude          n.高度，海拔;[pl.]高处，高地
altogether        ad.完全，总之，全部地;总共;总而言之
aluminum          n.(aluminium)铝
always            ad.总是，无例外地;永远，始终
amateur           a.&n.业余(水平)的(运动员、艺术家等)
amaze             vt.使惊奇，使惊愕;使困惑 vi.表现出惊奇
ambassador        n.大使;特使，(派驻国际组织的)代表
ambiguous         a.引起歧义的，模棱两可的，含糊不清的
ambition          n.对(成功、权力等)的强烈欲望，野心;雄心
ambitious         a.有抱负的，雄心勃勃的;有野心的
ambulance         n.救护车，救护船，救护飞机
amend             vt.修改，修订，改进
amiable           a.和蔼可亲的，友善的，亲切的
amid              prep.在…中间，在…之中，被…围绕
among             prep.在…之中;在一群(组)之中;于…之间
amount            n.总数，数量;数额 v.共计;等同,接近(to)
ample             a.充分的，富裕的;宽敞的，宽大的
amplifier         n.放大器，扩大器
amplify           vt.放大，增强;详述，详加解说
amuse             vt.向…提供娱乐，使…消遣;引人发笑
analogue          n.类似物;相似体;模拟
analogy           n.类似，相似，类比，类推
analyse           vt.(analyze)分析，分解
analysis          n.(pl.analyses)分析;分解
analytic          a.(analytical)分析的;分解的
ancestor          n.祖宗，祖先;原型，先驱
anchor            n./v.锚;危难时可依靠的人或物;用锚泊船
ancient           a.古代的，古老的，古式的
and               conj.和，与，而且;那么;接连，又
anecdote          n.轶事，趣闻，短故事
angel             n.天使，安琪儿
anger             n.愤怒，气愤 vt.使发怒，激怒 vi.发
angle             n.角，角度 v.钓鱼;(采用各种方法)取得
angry             a.生气的，愤怒的;(天气)风雨交加的
anguish           n.(尤指心灵上的)极度痛苦，烦恼
animal            n.动物，野兽，牲畜 a.动物的，野兽的
ankle             n.足踝，踝关节
anniversary       n.周年，周年纪念日
announce          v.正式宣布;发表;通告;广播(电台节目)
annoy             vt.使恼怒，使生气;打扰 vi.招人讨厌
annual            a.每年的，一年生的 n.年刊;一年生植物
anonymous         a.匿名的，无名的，姓氏不明的
another           a.另一个，又，再 pron.另一个，类似的一个
answer            vt.回答，答复，答案 v.回答，答复，响应
antenna           n.(无线电或电视的)天线
anticipate        vt.预料;期望;预先考虑;抢先;提前使用
antique           a.古式的，过时的 n.有价值的古物，古董
ant               n.蚁;蚂蚁
anxiety           n.挂念，焦虑，焦急，忧虑;渴望，热望
anxious           a.焦虑的，担心的;急于(得到的)，渴望的
any               a.(用于否定句、疑问句等)什么,一些;任何的
anybody           pron.(否定句)任何人;(肯定句)随便哪个人
anyhow            ad.不管怎么说，无论如何;不论用何种方法
anyone            pron.(用于疑问句，否定式)任何人
anything          pron.任何东西(事物);无论什么东西(事物)
anyway            ad.不管怎么说，无论如何;不论以何种方式
anywhere          ad.无论哪里;(用于否定、疑问等)任何地方
apart             ad.分离，离开，隔开 a.分离的，分隔的
apartment         n.[英]房间，套间;[美]公寓
apart             成零碎
apologise         v.(to,for)道歉，认错
apology           n.道歉，认错，辩解，辩护
appal             v.使惊骇，使恐怖
apparatus         n.器械，器具，仪器;机构，组织
apparent          a.表面上的,貌似真实的;显然的,明明白白的
appeal            vi.呼吁，恳求;申诉 n.呼吁;申诉;吸引力
appearance        n.出现，露面;外表;(在会议等)作短暂露面
appear            vi.出现;出场;问世;仿佛;出版，发表
appendix          n.附录，附属物;阑尾，盲肠
appetite          n.食欲，胃口;欲望，性欲;爱好，趣味
applaud           vt.鼓掌欢迎;赞同 vi.鼓掌欢迎，欢呼
applause          n.鼓掌;喝彩;夸奖，赞扬
apple             n.苹果，苹果树
appliance         n.电器;器械，装置;应用，适用
applicable        a.可应用(实施)的;适当的,合适的
application       n.申请，请求，申请书;应用，实施，实用性
apply             vi.(以书面形式)申请;请求 vt.应用;实施
appointment       n.约会,约定;任命,委派;委任的职位
appoint           vt.任命，委派;指定，约定(时间、地点等)
appraisal         n.对...作出的评价;评价，鉴定，评估
appraise          估量，估计
appreciate        vt.为...表示感激，感谢;欣赏，赏识，评价
apprehend         对...担心
approach          v.靠近，接近n.接近;途径，入门;方式,方法
appropriate       a.适当的,恰当的,特有的 vt.拨给,挪用,盗用
approval          n.批准，通过;赞成，同意
approve           v.(of)赞成，赞许，同意;批准，审议，通过
approximate       a.近似的 vi.(to)接近
april             (名)四月
apt               a.恰当的，适当的;易于…的，有…倾向的
arbitrary         a.任意的，任性的，主观的;专断的，武断的
architect         n.建筑师;设计师;缔造者;创造者
architecture      n.建筑，建筑学;建筑式样或风格，建筑物
arch              n.拱门，桥拱洞 v.拱起，(使)变成弓形
area              n.面积;地区，地域;领域，范围
argue             vi.辩论，争论 vt.辩论，论证;说服，劝说
argument          n.争论(吵)，辩论;理由;论证
arise             v.出现，发生;(from)由…引起，由…产生
arithmetic        n.算术，四则运算
arm               n.手臂，扶手，臂状物 v.武装;配备 n.武器
army              n.军队，陆军，军;大群，大批
around            ad.在...周围，到处 prep.在..四周(或附近)
arouse            vt.唤醒，叫醒;唤起，激起
arrange           v.安排，筹划;整理，使有条理，排列，布置
array             n.大量;排列;盛装 v.列阵;装扮;排列
arrest            n.逮捕，扣留 vt.逮捕，扣留;阻止;吸引
arrival           n.到达，到来;到达者，到达物
arrive            vi.到达;(时间、事件)到来，发生;达到
arrogant          a.傲慢的，自大的
arrow             n.箭，矢，箭状物;箭头符号
artery            n.动脉;干线，要道
article           n.文章，论文;条款，条文;物件;冠词
articulate        a.善于表达的;有关节相连的 v.清楚地讲话
artificial        a.人工的，人造的，人为的;虚伪的，做作的
artistic          a.艺术(家)的，美术(家)的;善于艺术创作的
artist            n.艺术家，美术家;(某方面的)能手
art               n.艺术，美术;技术，技艺;文科，人文科学
as                ad.同样地 conj.由于;像...一样 prep.作为
ascend            vi.渐渐上升，升高vt.攀登，登上
ascertain         vt.确定，查明，弄清
ashamed           a.惭愧的，羞耻的，害臊的
ash               n.灰，灰末;(pl.)骨灰;(pl.)废墟
ashore            ad.上岸;在岸上，向岸上
aside             ad.在旁边，到一边 n.旁白;离题的话
ask               vt.问，询问;请求，要求;邀请，约请
asleep            a.睡觉，睡着(用作表语)
aspect            n.样子, 外表, 面貌, (问题等的)方面
aspire            vi.(to，after)渴望，追求，有志于
assassinate       vt.暗杀，行刺;中伤
assault           v.猛烈地攻击，袭击 n.突然而猛烈的攻击
assemble          vt.集合，召集;装配;收集 vi.集合，聚集
assembly          n.集合;会议;装配;(美)洲议会的众议院
assert            vt.断言,宣称;坚持;主张(权利、权威等)
assess            vt.(为征税)评估(财产、收入);征税;评价
asset             n.(pl.)资产,财产;有价值的物品;天赋
assignment        n.分配，指派;(指定的)作业，(分派的)任务
assign            vt.派给，分配;选定，指定(时间、地点等)
assimilate        vt.吸收，消化;使同化 vi.被吸收;被同化
assistance        n.协作; 援助; 帮助
assistant         a.帮助的，辅助的 n.助手，助教;辅助物
assist            vt.协助，帮助，促进 vi.帮忙，参加
associate         vt.联想;交往;联合;n.伙伴;a.联合的
association       n.联盟，协会，社团;交往，联合;联想
assume            vt.假装;假定，设想;承担;呈现，采取
assumption        n.假定，设想;采取;承担;推测;假装
assurance         n.保证,担保;确信,断言;信心,信念
assure            vt.使确信，使放心(of);向…保证
astonish          vt.使惊讶，使吃惊
astronaut         n.太空人，太空旅行者
astronomy         n.天文学
athlete           n.运动员，体育家，身强力壮的人
atmosphere        n.大气(层);空气;气氛，环境;大气压
atom              n.原子;微粒，微量
at                prep.[表示价格、速度等]以，达;在..方面
attach            v.系，贴，装，连接;使成为一部分;使依恋
attack            v./n.攻击，抨击;着手，开始 n.(病)发作
attain            vt.达到;完成;获得 vi.达到
attempt           vt.企图，试图 n.努力，尝试，企图
attendance        n.出席;出席人数;护理，照料
attendant         n.陪从;出席人;服务员 a.出席的;伴随的
attend            vt.出席，参加;照顾，护理 vi.注意;侍奉
attention         n.注意，注意力;立正;特别照顾;照料
attentive         注意的，专心的
attitude          n.态度，看法(to, toward, about);姿势
attorney          n.(业务或法律事务上的)代理人;辩护律师
attractive        a.吸引人的，引人注意的;漂亮的，迷人的
attract           vt.引起的注意(或兴趣等),吸引;引起;激起
attribute         v.(to)归因于,归属于 n.属性,品质,特征
auction           n./vt.拍卖
audience          n.听众，观众，读者;见面，会见
audio             n./a.音频(响)(的);声音(的)，听觉(的)
auditorium        n.观众席，听众席;会堂，礼堂
audit             v.审计;查帐;核对;旁听
augment           vt.(使)增大，增加，增长，扩张
aunt              n.姨母，姑母，伯母，婶母，舅母，阿姨
aural             a.听觉的，听力的
authentic         a.真的，真正的;可靠的，可信的，有根据的
authority         n.权力，权威;权威人士;(pl.)官方，当局
author            n.作者，作家，著作人;创始人，发起人
automatic         a.自动(装置)的;无意识的;n.自动机械
automation        n.自动，自动化，自动操作
auto              n.(automobile)(口语)汽车
autonomy          n.自治，自治权;
autumn            n.秋，秋季;成熟期，渐衰期
auxiliary         a.辅助的，支援的 n.辅助者，辅助设备
available         a.(用于物)可利用的;可见到的，接受采访的
avail             n.[一般用于否定句或疑问句中]效用,利益
avenue            n.林荫路，大街;(比喻)途径，渠道，方法
average           n.平均,平均数 a.平均的;普通的 v.平均
avert             v.防止，避免 ;转移(目光、注意力等)
aviation          n.航空，航空学;飞机制造业
avoid             vt.防止，避免;逃避，避开
await             vt.等候，期待;(事情等)降临于
awake             a.醒着的 vt.唤醒，使觉醒 vi.醒来，醒悟到
award             vt.授予,给予;判定 n.奖,奖金;仲裁
aware             a.知道的，意识到的;
away              ad.在远处;离开;渐渐远去;一直;去掉
awe               n.敬畏，惊惧vt.使敬畏，使惊惧
awful             a.极度的，极坏的;威严的，可怕的
awkward           a.笨拙的;尴尬的;使用不便的;难处理的
axe               n.(ax)斧子;削减 vt.用斧砍
axis              n.轴，轴线，中心线;坐标轴，基准线
