cabbage           n.洋白菜,卷心菜
concert           n.音乐会,演奏会;一齐,一致
concession        n.让步，妥协;特许(权);
concise           a.简明的,简洁的
conclude          v.结束,终止;断定,下结论;缔结,议定
conclusion        n.结论，推论;结尾;缔结，议定
concrete          a.具体的,实质性的n.混凝土v.用混凝土修筑
condemn           v.谴责,指责;判刑,宣告有罪
condense          v.(使)冷凝，(使)凝结;浓缩，压缩，简缩
condition         n.条件，状况，环境 vt.决定;支配;训练
conduct           n.行为,品行 v.引导;管理;指挥(乐队);传导
conductor         n.管理者;(汽车)售票员;领队，指挥;导体
conference        n.(正式)会议;讨论，商谈
confer            v.商讨;授予，颁给(勋衔，学位等)
confess           v.供认，承认，坦白，忏悔
confidence        n.(in)信任;信心,自信;秘密,机密
confidential      a.秘(机)密的;表示信任的;担任机密工作的
confident         n.(of,in)确信的,自信的
confine           vt.限制;使不外出，禁闭n.[pl.]界限，范围
confirm           v.使更坚固,使更坚定;(进一步)证实;确认
conflict          n.战斗,斗争;抵触,冲突 v.(with)抵触,冲突
conform           vi.(to)遵守，适应;相似，一致，符合
confront          v.使面临,使遭遇;面对(危险等)
confuse           v.使混乱,混淆
confusion         n.困惑，糊涂;混淆;混乱，骚乱
congratulate      v.(on)祝贺,向…致贺词
congratulation    n.(on)祝贺,(pl.)祝贺词
congress          n.(代表)大会;(美国等国的)国会,议会
conjunction       n.接合，连接，联合;连(接)词
connection        n.(connexion)联系,连接;亲戚，社会关系
connect           vt.连接;与…联系，接通(电话) vi.连接
conquer           v.征服,战胜,占领;克服,破除(坏习惯等)
conquest          n.征服，征服地，掠取物
conscience        n.良心,良知
conscientious     a.审慎正直的，认真的，本着良心的
conscious         a.(of)意识到的,自觉的;神志清醒的
consecutive       a.连续的;连贯的;顺序的
consensus         n.(意见等的)一致，一致同意，共识
consent           v./n.(to)同意,赞成,答应
consequence       n.结果,后果,影响;重要性
consequently      ad.结果，因此，所以
conservation      n.保存,保护,保守;守恒,不灭
conservative      a.保守的,守旧的 n.保守主义者
conserve          保护，保藏，保存
considerable      a.相当大(或多)的,可观的;值得考虑的
considerate       a.考虑周到的,体谅的
consideration     n.需要考虑的事,理由;考虑,思考;体谅,照顾
consider          v.考虑，细想;体谅，顾及;认为，把…看作
consistent        a.(in)前后一致的;(with)一致，符合
consist           v.(in)在于,存在于;(of)由…组成,由…构成
console           n.控制台，仪表板;落地柜 vt.安慰，慰问
consolidate       v.使加固，使加强;(把...)联为一体，合并
conspicuous       a.显眼的,明显的
conspiracy        n.阴谋，密谋，共谋
constant          a.固定的，持续的,忠实的 n.常数,恒量
constituent       n.选民;成分，组分a.组成的，构成的
constitute        vt.组成，构成，形成;设立，建立，任命
constitution      n.构成,构造,组成(方式),成分;体格;宪法
constrain         vt.限制，约束;克制，抑制
construction      n.建造，构造;建筑物，结构;释义，解释
construct         v.建设,建造,构造;创立
consultant        n.会诊医师,顾问医生;顾问
consult           v.请教，向...咨询，找...商量;查阅，查看
consume           vt.消耗;吃完，喝光;(with)使着迷;烧毁
consumption       n.消费(量),消耗
contact           v./n.(使)接触,联系,交往
container         n.容器;集装箱
contain           v.包含，容纳;容忍，抑制;可被...除尽
contaminate       v.弄污,弄脏,毒害,传染,染污
contemplate       vt.盘算，计议;周密考虑;注视，凝视
contemporary      a.现代的,当代的;同时代的
contempt          n.轻视，藐视;受辱，丢脸
contend           v.竞争,斗争;坚决主张
content           n.容量,内容,(pl.)目录 a.(with)满足的
contest           n.竞争,竞赛,比赛 v.竞争,比赛,争论
context           n.(文章等)前后关系;(事件等发生的)背景
continent         n.大陆,洲
continual         a.不断的,连续的,频繁的
continue          v.继续,连续,延伸
continuous        a.连续的,持续的
contract          n.(承包)合同/契约 v.订合同/契约;使缩小
contradiction     n.反驳，否认;矛盾，不一致
contradict        v.反驳;同…矛盾,同…抵触
contrary          a.(to)相反的,矛盾的 n.反对,矛盾;相反
contrast          n.对比，对照 vi.形成对比 vt.把…与…对比
contribute        v.(to)贡献,捐助,捐献;投稿
contribution      n.贡献;捐款，捐献物;投稿
contrive          vt.谋划，策划;设法做到;设计，想出
control           n.(over)控制,支配 v.控制,支配
controversial     a.引起争论的,有争议的
controversy       n.争论，辩论，争吵
convenience       n.便利,方便;(pl.)便利设备
convenient        a.(to)便利的,方便的
conventional      a.惯例的,常规的
convention        n.大会,会议;惯例,常规,习俗;公约,协定
conversation      n.会话,谈话
conversely        ad.相反地
conversion        n.转变，转换;信仰的改变;
convert           v.变换,转换;改变(信仰等);兑换(钱)
convey            v.运送,搬运,转运;传达,传播
conviction        n.深信,确信;定罪，判罪;
convict           v.(经审讯)证明…有罪,宣判…有罪 n.囚犯
convince          v.(of)使信服,使确信
cook              n.厨师 v.烹调，烧煮;纂改(账目)，捏造
cool              a.凉的;冷静的 n.凉快 ad.冷静地 v.使变凉
cooperate         v.(with)合作,协作,相配合
cooperative       a.合作的,协作的 n.合作社
coordinate        a.同等的 n.同等者,坐标 vt.协作，协调
cope              v.(with)竞争,对抗;(with)对付,妥善处理
cop               n.警察(slang 俚语)
copper            n.铜;铜币,铜制器
copy              n.抄本，摹本;(一)本 vt.抄写;考试中抄袭
copyright         n./a.版权(的)
cordial           a.诚恳的,亲切的,热诚的
cord              n.绳,索
core              n.果核;中心,核心
corner            n.角，街角;偏僻处; vt.将…逼入困境;
corn              n.谷物,庄稼,玉米
corporation       n.市镇自治机关;法人;公司，企业
correct           a.正确的,恰当的,端正的 v.改正,纠正,矫正
correlate         n.相互关联的事物 v.(with,to)(使)互相关联
correspondence    n.通信,信件;(with)符合;(to)相当于,对应
correspondent     n.记者,通讯员;通信者
corresponding     a.符合的,相应的,对应的
correspond        v.通信,(with)符合,一致;(to)相当于,对应
corridor          n.走廊,通路
corrode           v.(受)腐蚀,侵蚀
corrupt           v.贿赂,收买 a.腐败的,贪污的
cosmic            a.宇宙的;无比巨大的，无穷尽的
costly            a.昂贵的,价值高的,豪华的
cost              n.成本,费用,代价 v.价值为,花费
costume           n.(流行的)服饰;戏装，(特定场合的)套装
cosy              a.暖和舒服的;舒适的 [反]uncomfortable
cottage           n.村舍,小屋,别墅
cotton            n.棉花;棉线,棉纱;棉制品
couch             n.长沙发;(病人躺的)长榻vt.表达
cough             v./n.咳嗽
could             v.aux.(口语)(表示许可或请求)可以...，行
council           n.理事会,委员会,议事机构
counsel           v./n.劝告,忠告 n.法律顾问,辩护人
counter           n.柜台;计数器 a./ad.相反(的) v.反对,反击
counterpart       n.对应的人(或物)
country           n.国家;农村,乡下
countryside       n.乡下,农村
count             v.数,计算;算入;看作,认为 n.计数,总数
county            n.(英国)郡,(美国)县
count             数,计算
couple            n.(一)对,双;夫妇; v.连接,结合
coupon            n.证明持券人有某种权利的卡片，票证，赠券
courage           n.勇气,胆量
course            n.课程,教程;过程,进程;路程,路线;一道菜
courtesy          n.谦恭有礼;有礼貌的举止(或言词)
court             n.法院,法庭;宫廷,朝廷;院子;球场
courtyard         n.院子，庭院，天井
cousin            n.堂(或表)兄弟,堂(或表)姐妹
cover             v.覆盖,包括,涉及 n.盖子,套子;(书的)封面
coward            n.懦夫,胆怯者
cow               n.母牛,奶牛
crab              n.螃蟹,蟹肉
crack             n.裂纹,缝隙;破裂声 v.(使)破裂,砸开
cradle            n.摇篮;发源地
craft             n.工艺,手艺,技巧;飞机,飞船
crane             n.起重机,鹤
crash             v./n.碰撞,坠落,摔坏 n.失败,瓦解;爆裂声
crawl             v./n.爬行,蠕动;缓慢(的)行进
crazy             a.疯狂的,古怪的,蠢的;(about)狂热的
cream             n.乳脂,(鲜)奶油;奶油色
create            v.创造,创作;引起,造成,建立
creative          a.有创造力的,创造性的
creature          n.人,动物;生物
credential        n.凭证，(pl.)国书，证明书
credit            v./n.信用,信任 n.信用贷款,赊欠;名誉,名望
creep             v.爬,爬行;(植物)蔓延
crew              n.全体船员,全体乘务员
cricket           n.板球;蟋蟀
crime             n.罪行,犯罪
criminal          n.罪犯,刑事犯 a.犯罪的,刑事的
cripple           n.跛子,残疾人 v.使跛,使残疾
crisis            n.(pl.crises)危机,紧要关头
crisp             a.脆的,易碎的;简明扼要的;(空气)清爽的
criterion         n.(pl.criteria或criterions)标准，尺度
critical          a.批评的,评论的;危急,紧要的;临界的
criticism         n.评论性的文章，评论;批评，指责，非难
criticize         v.(criticise)批评,评论
critic            n.批评家,评论家
crop              n.作物,庄稼;(谷类等的)一熟收成;一批,大量
cross             n.十字(架);苦难 a.交叉的;发怒的 v.穿过
crowd             n.人群;一群,一伙 v.聚集,群集;挤满,拥挤
crown             n.王冠,冕;君权,君王 v.为…加冕
crow              n.乌鸦 v./n.鸡啼,鸣叫
crucial           a.至关重要的,决定性的
crude             a.天然的,未加工的;未熟的;粗鲁的,粗野的
cruel             a.残忍的,残酷的
cruise            v.巡航;以节省燃料的速度前进 n.乘船巡游
crush             n./v.压碎,压坏 v.压服,压垮
crust             n.外皮,壳;地壳
cry               n.&v.叫，喊，哭;(鸟兽)叫，啼，鸣，嗥
crystal           n.水晶,水晶饰品;结晶 a.水晶的,透明的
cube              n.立方形,立方体;立方,三次幂
cucumber          n.黄瓜
cue               提示，暗号，信号
cultivate         v.耕作,栽培,养殖;培养,教养,磨炼
culture           n.文化,文明;修养;耕种;栽培,培育;
cunning           a./n.狡猾(的),狡诈(的)
cupboard          n.碗柜,小橱
curb              n.路边，场外证券市场，vt.制止，抑制
cure              v.(of)治愈,医治;矫正 n.治愈,痊愈;良药
curiosity         n.好奇心;古董,古玩
curious           a.好奇的, 求知的, 古怪的, 爱挑剔的
curl              v.(使)卷曲,蜷缩 n.卷发;卷曲状;卷曲物
currency          n.流传,流通;通货,货币
current           n.电流,水流;潮流,趋势 a.当前的;流通的
curriculum        n.(pl.curricula)课程,(学校等的)全部课程
curse             n.诅咒,咒语,祸因 vt.诅咒,咒骂,使受罪
curtain           n.窗帘,门帘;幕(布);结束; vt遮掩
curve             n.曲线,弯曲(物) v.弄弯,成曲形
cushion           n.垫子,软垫 vt.装垫子;缓和,减轻;
customary         a.习惯的,惯例的
customer          n.顾客,主顾
custom            n.习惯,风俗,惯例;(pl.)海关,关税，
cyberspace        n.虚拟信息空间;网络空间
cycle             n.自行车;周期,循环 v.骑自行车;循环
cylinder          n.圆筒,圆锥体;汽缸
