machine           n.机器,机械 v.用机器加工
messenger         n.送信者,使者,传令兵
mess              n.混乱,混杂,脏乱 v.弄脏,弄乱,搞糟
metal             n.金属,金属制品
metaphor          n.隐喻，暗喻
method            n.方法,办法
metre             n.(meter)米，公尺;仪表，计量器
metric            a.米制的,公制的
metropolitan      a.首都的,主要都市的,大城市
microphone        n.话筒,扩音器
microscope        n.显微镜
middle            n./a.中间(的),当中(的)
midst             n.中间,当中
might             aux.v.可能,也许 n.力量,威力,权力
migrate           v.迁移,移居(国外)
mild              a.温和的,轻微的,味淡的,不含有害物质的的
mile              n.英里，哩，海里
militant          a.好战的，富于战斗性的 n.斗士
military          a.军事的,军用的,军队的
milk              n.牛奶;(植物流出的)白色乳液 v.挤奶
millimeter        n.(millimetre)毫米
millionaire       n.百万富翁
million           num./n.百万,百万个
mill              n.磨粉机,磨坊;作坊,工厂
mind              n.精神,理智,意见,记忆力v.注意,介意,反对
mine              pron.(I的物主代词)我的(东西)n.矿 v.采矿
mineral           n.矿物,矿石 a.矿物的,矿质的
mingle            v.(使)混合
miniature         n.缩小的模型,缩图 a.微型的,缩小的
minimize          v.(minimize)使减少到最少,使降到最低
minimum           n.最小值,最低限度 a.最小的,最低的
minister          n.部长,大臣
ministry          n.(政府的)部;牧师
minor             a.较小的,较小的 n.兼修学科 v.(in)兼修
minority          n.少数,少数派,少数民族
minor             较小的，较少的，较不重要的
minus             a.负的,减的 prep.减去 n.负号,减号
minute            n.分钟,片刻;(pl.)会议记录 a.微小的
miracle           n.奇迹,令人惊奇的人(或事)
mirror            n.镜子;反映,反射 v.反映,反射
mischief          n.损害,伤害,危害;恶作剧,胡闹;灾祸
miserable         a.痛苦的,悲惨的
misery            n.痛苦,悲惨,不幸
misfortune        n.不幸,灾祸,灾难
mislead           v.把…带错路,使误入岐途
missile           n.导弹,发射物
missing           a.漏掉的,失去的,失踪的
missionary        a.教会的，传教(士)的 n.传教士
mission           n.使命,任务;使团,代表团
miss              n.小姐 v. 思念,未击中,错过,漏掉,逃脱
mistake           n.错误,过失,误解 v.弄错;(for)把…误认为
mist              n.薄雾,霭
mistress          n.女主人;主妇;情妇,情人
misunderstand     v.误解,误会
mixture           n.混合;混合物,混合剂
mix               v.使混合;混淆
moan              n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹
mobile            a.可动的,活动的,运动的
mobilize          v.(mobilise)动员,赋予可动性
mob               n.乌合之众(尤指暴力者) vi.围攻，聚众闹事
mock              v.嘲笑 a.假的,模拟的 n.(常pl.)模拟考试
model             n.样式,型;模范;模型,原型;模特 v.模仿
mode              n.方式,式样
moderate          a.有节制的,中等的,适度的,温和的,稳健的
modern            a.现代的,近代的,新式的
modernization     n.(modernisation)现代化
modest            a.谦虚的,有节制的
modify            v.更改,修改,修饰
module            n.组件，模块，模件;(航天器的)舱
moist             a.潮湿的,湿润的,多雨的
moisture          n.潮湿,湿气,湿度
molecule          n.分子
momentary         片刻的，瞬息的
moment            n.片刻,瞬间,时刻
momentum          n.动力,要素
monarch           n.帝王，君主，最高统治者
monday            n.星期一
monetary          a.金融的,货币的
money             n.货币,钱
monitor           n.班长;监听器,监视器 v.监控,监测
monkey            n.猴子
monopoly          n.垄断,专卖,专利权,专利事业
monotonous        a.单调的,无变化的
monster           n.怪物,妖怪,畸形的动植物
monthly           a.每月的 ad.每月一次,按月 n.月刊
month             n.月,月份
monument          n.纪念碑,纪念馆,遗迹,不朽的业绩
mood              n.心情,情绪;语气
moon              n.(加the)月球，月亮;卫星
moral             a.道德(上)的,精神上的 n.寓意,教育意义
morality          n.道德,美德
more              a.更多的 n.更多的人(或东西) ad.更，更多
moreover          conj./ad.再者,加之,而且
morning           n.早晨，上午
mortal            a.致命的;终有一死的;人世间的 n.凡人
mortgage          n./v.抵押(借款)
mosaic            n.马赛克;镶嵌体
mosquito          n.蚊子
moss              n.苔,藓,地衣
most              a.最多的;大多数的 ad.最;极其 n.大多数
mostly            ad.几乎全部地;主要地,大部分,基本上
motel             n.(附有停车场的)汽车旅馆
mother            n.母亲
motion            n.运动,动;提议,动议 v.提议,动议
motivate          vt.促动;激励，鼓励，作为…的动机
motive            n.动机,目的 a.发动的,运动的
motor             n.发动机,电动机
mould             n.(mold)模子，铸型 v.浇铸，造型，塑造
mountain          n.山
mount             v.登上;安装n.支架,底板;(用于山名前)山峰
mourn             v.哀悼,忧伤
mouse             n.(pl.mice)鼠,耗子
mouth             n.口,嘴
movement          n.运动,活动;移动,迁移
move              v.移动,迁移;活动;感动 n.移动,活动,行动
movie             n.电影,电影院
much              a.多的，大量的 ad.十分，非常;到极大程度
mud               n.泥，泥浆 v.弄脏，使沾污泥
mug               n.(有柄的)大茶杯
multiple          a.多样的,多重的 n.倍数 v.成倍增加
multiply          v.(by)乘,使相乘;倍增,增加,繁殖
multitude         n.众多,大量
municipal         a.市(立,政)的;地方性的,地方自治的
murder            v./n.谋杀,凶杀
murmur            v./n.小声说(话);小声抱怨,咕哝
muscle            n.肌肉,体力
muscular          a.肌肉的;肌肉发达的;强健的
museum            n.博物馆,展览馆
mushroom          n.蘑菇 vt.迅速生长,迅速增加,采蘑菇
musical           a.音乐的;有音乐才能的 n.音乐片
musician          n.音乐家,乐师
music             n.音乐，乐曲，乐谱
must              aux.&v.必须;很可能;一定要 n.必须做的事
mute              a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音
mutter            n.喃喃而语,小声低语;抱怨 v.低声说,抱怨
mutton            n.羊肉
mutual            a.相互的，彼此的;共同的，共有的
my                pron.(I的所有格)我的
myself            pron.[反身代词]我自己;我亲自
mysterious        a.神秘的,可疑的,难理解的
mystery           n.神秘,神秘的事物;神秘小说,侦探小说
myth              n.神话;虚构的理论
